Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Cristiano Ronaldo 39,  M(L),FW",187,83,37(1),3354,46,12,4,-,6.9,80.6,0.8,11,8.28,Real Madrid,2011/2012
"Antonio Adán 36,  GK",190,86,1,90,-,-,-,-,-,64.3,1,-,7.63,Real Madrid,2011/2012
"Marcelo 35,  D(L),M(L)",173,72,31(1),2719,3,5,3,-,0.9,83,0.3,2,7.51,Real Madrid,2011/2012
"Xabi Alonso 42,  M(C)",183,80,35(1),3143,1,9,13,-,0.6,88.1,1.4,1,7.48,Real Madrid,2011/2012
"Ángel Di María 36,  M(CLR),FW",180,75,16(7),1351,5,15,5,1,2.1,74.8,-,2,7.4,Real Madrid,2011/2012
"Sergio Ramos 37,  D(CR)",184,82,34,3055,3,4,11,1,0.7,86,1.9,1,7.39,Real Madrid,2011/2012
"Karim Benzema 36,  FW",185,81,26(8),2258,21,7,-,-,2.9,81.8,0.4,4,7.39,Real Madrid,2011/2012
"Mesut Özil 35,  M(CLR)",180,76,30(5),2591,4,17,5,1,0.9,87.1,0.1,4,7.37,Real Madrid,2011/2012
"Gonzalo Higuaín 36,  FW",186,89,18(17),1716,22,7,4,-,1.7,84.8,0.2,4,7.31,Real Madrid,2011/2012
"Pepe 41,  D(C)",188,81,29,2550,1,-,9,1,0.5,85.4,1.2,-,7.21,Real Madrid,2011/2012
"Álvaro Arbeloa 41,  D(LR)",184,79,26,2226,-,3,9,-,0.2,89.1,0.7,1,7.18,Real Madrid,2011/2012
"Ricardo Carvalho 45,  D(C)",183,79,7(1),602,-,1,5,-,0.1,89.9,0.8,-,7.01,Real Madrid,2011/2012
"Fábio Coentrão 36,  D(L),M(LR)",178,66,12(8),1215,-,3,5,-,0.5,84.9,0.5,1,7.01,Real Madrid,2011/2012
"Raúl Albiol 38,  D(C)",187,74,5(5),611,-,-,1,-,0.4,77.2,1.2,-,7,Real Madrid,2011/2012
"Lassana Diarra 39,  M(C)",173,73,15(2),1147,-,-,5,-,0.5,86.7,0.4,-,6.99,Real Madrid,2011/2012
"Kaká 41,  M(CL),FW",186,78,17(10),1385,5,7,3,-,1.2,85,0.2,-,6.95,Real Madrid,2011/2012
"Raphaël Varane 30,  D(C)",191,81,7(2),681,1,-,-,-,0.9,85.6,1.6,-,6.91,Real Madrid,2011/2012
"Sami Khedira 36,  M(C)",189,90,20(8),1880,2,2,3,1,1,87,0.8,-,6.85,Real Madrid,2011/2012
"Iker Casillas 42,  GK",185,84,37,3330,-,-,1,-,-,66.6,-,-,6.82,Real Madrid,2011/2012
"Esteban Granero 36,  M(CLR)",180,78,7(10),637,-,1,3,-,0.7,92.1,0.2,-,6.65,Real Madrid,2011/2012
"Hamit Altintop 41,  M(CR)",183,83,1(4),158,1,-,-,-,0.4,91.9,-,-,6.59,Real Madrid,2011/2012
"Nuri Sahin 35,  M(C)",180,73,2(2),128,-,-,-,-,0.8,88.7,1,-,6.52,Real Madrid,2011/2012
"José Callejón 37,  M(LR),FW",178,73,6(20),771,5,-,1,-,1,88.1,-,-,6.4,Real Madrid,2011/2012
"Álvaro Morata 31,  AM(L),FW",190,84,0(1),8,-,-,-,-,1,25,-,-,6.16,Real Madrid,2011/2012
"Jesé 31,  AM(LR),FW",178,72,0(1),9,-,-,-,-,-,85.7,-,-,5.97,Real Madrid,2011/2012
"Lionel Messi 36,  AM(CR),FW",170,72,36(1),3268,50,16,6,-,5.5,84.2,0.1,24,8.88,Barcelona,2011/2012
"Cesc Fàbregas 36,  M(CL),FW",180,77,23(5),1947,9,8,6,-,1.6,86.9,0.1,2,7.44,Barcelona,2011/2012
"Dani Alves 40,  D(R),M(CR)",172,70,29(4),2676,2,11,6,2,1.1,84.5,0.5,1,7.43,Barcelona,2011/2012
"Andrés Iniesta 39,  M(CL)",171,68,21(6),1867,2,9,3,-,1.8,89.7,0.1,2,7.43,Barcelona,2011/2012
