Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Lionel Messi 36,  AM(CR),FW",170,72,37(1),3375,43,18,4,-,4.9,82.9,0.2,25,8.84,Barcelona,2014/2015
"Neymar 32,  AM(CLR),FW",175,68,29(4),2573,22,7,6,-,2.9,81,0.6,2,7.98,Barcelona,2014/2015
"Luis Suárez 37,  AM(CLR),FW",182,72,25(2),2180,16,14,4,-,2.8,77.1,0.6,3,7.69,Barcelona,2014/2015
"Marc Bartra 33,  D(CR),DMC",184,70,11(3),1036,1,3,1,-,0.8,88.9,2.1,-,7.5,Barcelona,2014/2015
"Gerard Piqué 37,  D(C)",194,85,26(1),2385,5,1,6,-,0.7,89.3,2,2,7.41,Barcelona,2014/2015
"Dani Alves 40,  D(R),M(CR)",172,70,29(1),2524,-,6,6,1,0.7,88.5,0.9,-,7.37,Barcelona,2014/2015
"Sergio Busquets 35,  DMC",189,74,29(4),2492,1,2,7,-,0.2,91.8,1.8,1,7.25,Barcelona,2014/2015
"Jordi Alba 34,  D(L),M(L)",170,68,27,2335,1,3,6,1,0.7,88.4,0.7,1,7.19,Barcelona,2014/2015
"Jérémy Mathieu 40,  D(CL)",189,82,23(5),2105,2,-,5,-,0.4,88.7,1.6,-,7.15,Barcelona,2014/2015
"Javier Mascherano 39,  D(C),M(C)",174,73,26(2),2208,-,-,8,1,0.1,91.2,0.8,-,7.12,Barcelona,2014/2015
"Ivan Rakitic 36,  M(CL)",184,78,23(9),2037,5,7,1,-,1.1,90.7,0.7,-,7.11,Barcelona,2014/2015
"Adriano 39,  D(CLR),M(L)",172,75,10(6),953,-,1,2,-,0.5,89.6,0.8,-,7.11,Barcelona,2014/2015
"Xavi 44,  DMC",170,68,19(12),1779,2,8,1,-,0.9,92.7,0.3,-,7.11,Barcelona,2014/2015
"Martín Montoya 32,  D(LR),M(R)",175,73,6(2),588,-,-,-,-,0.4,88.3,0.9,-,7.01,Barcelona,2014/2015
"Andrés Iniesta 39,  M(CL)",171,68,19(5),1590,-,1,3,-,1,89.9,0.3,-,6.96,Barcelona,2014/2015
"Claudio Bravo 40,  GK",184,80,37,3330,-,-,1,-,-,80,0.2,-,6.85,Barcelona,2014/2015
"Thomas Vermaelen 38,  D(CL)",183,80,1,63,-,-,-,-,1,93,-,-,6.84,Barcelona,2014/2015
"Rafinha 32,  M(CLR)",174,71,13(11),1152,1,1,2,-,0.5,91.8,0.2,-,6.8,Barcelona,2014/2015
"Pedro 36,  M(CLR),FW",169,65,15(20),1531,6,6,3,-,1.1,86.9,0.1,-,6.75,Barcelona,2014/2015
"Sergi Roberto 32,  D(R),M(CR)",178,68,4(8),507,-,-,-,-,0.3,94.9,1.3,-,6.7,Barcelona,2014/2015
"Sandro Ramírez 28,  AM(LR),FW",175,71,0(7),145,2,-,-,-,1.1,84.7,0.3,-,6.52,Barcelona,2014/2015
"Douglas 33,  D(R),M(R)",171,70,1(1),100,-,-,1,-,-,91.4,0.5,-,6.52,Barcelona,2014/2015
"Munir El Haddadi 28,  AM(CLR),FW",175,69,7(3),463,1,1,-,-,1.8,79.7,0.7,-,6.49,Barcelona,2014/2015
"Jordi Masip 35,  GK",180,76,1,90,-,-,-,-,-,91.3,-,-,5.75,Barcelona,2014/2015
"Cristiano Ronaldo 39,  M(L),FW",187,83,35,3099,48,16,5,1,6.4,80.7,1.7,17,8.49,Real Madrid,2014/2015
"James Rodríguez 32,  AM(CLR),FW",180,75,29,2290,13,13,5,-,1.8,87.2,0.3,2,7.85,Real Madrid,2014/2015
"Gareth Bale 34,  M(CLR),FW",186,81,30(1),2582,13,9,2,-,3.3,78.3,1.3,2,7.66,Real Madrid,2014/2015
"Karim Benzema 36,  FW",185,81,29,2312,15,10,1,-,2.4,79.2,0.7,2,7.55,Real Madrid,2014/2015
"Luka Modric 38,  M(C)",172,66,16,1306,1,3,4,-,0.9,91.7,0.5,-,7.5,Real Madrid,2014/2015
"Toni Kroos 34,  M(C)",183,76,36,3064,2,7,6,-,0.9,92.2,0.4,-,7.43,Real Madrid,2014/2015
"Sergio Ramos 37,  D(CR)",184,82,27,2254,4,1,12,-,1,90,3.2,1,7.41,Real Madrid,2014/2015
"Marcelo 35,  D(L),M(L)",173,72,33(1),2931,2,7,9,-,0.7,83.6,0.2,1,7.38,Real Madrid,2014/2015
"Isco 31,  M(CLR),FW",176,79,26(8),2341,4,9,5,1,1.3,88,0.4,2,7.31,Real Madrid,2014/2015
"Pepe 41,  D(C)",188,81,25(2),2225,2,2,4,-,0.4,86.8,2.7,-,7.21,Real Madrid,2014/2015
"Raphaël Varane 30,  D(C)",191,81,21(6),2033,-,-,1,-,0.6,89.2,2.8,1,7.16,Real Madrid,2014/2015
"Dani Carvajal 32,  D(R)",173,73,25(5),2277,-,3,12,-,0.1,86.6,0.7,-,7.14,Real Madrid,2014/2015
"Nacho 34,  D(CLR)",180,76,5(9),636,1,-,1,-,0.1,91.7,0.6,-,6.81,Real Madrid,2014/2015
"Álvaro Arbeloa 41,  D(LR)",184,79,12(10),1107,1,5,7,-,0.1,89.2,1,1,6.81,Real Madrid,2014/2015
"Chicharito 35,  FW",175,73,7(16),859,7,4,2,-,1.3,82.3,0.3,-,6.79,Real Madrid,2014/2015
"Iker Casillas 42,  GK",185,84,32,2880,-,-,-,-,-,63.4,0.3,1,6.78,Real Madrid,2014/2015
"Asier Illarramendi 34,  M(C)",179,75,10(20),1218,-,-,3,-,0.2,91.4,0.4,-,6.64,Real Madrid,2014/2015
"Jesé 31,  AM(LR),FW",178,72,3(13),533,3,2,2,-,0.6,80.1,-,-,6.6,Real Madrid,2014/2015
"Keylor Navas 37,  GK",185,80,6,540,-,-,1,-,-,70.6,-,-,6.51,Real Madrid,2014/2015
"Lucas Silva 31,  DMC",181,82,3(5),335,-,-,-,-,0.4,90.5,0.3,-,6.43,Real Madrid,2014/2015
"Martin Ødegaard 25,  AM(CR)",178,68,0(1),32,-,-,-,-,-,94.7,-,-,6.39,Real Madrid,2014/2015
"Fábio Coentrão 36,  D(L),M(LR)",178,66,5(4),414,-,-,1,1,0.1,87.7,0.8,-,6.35,Real Madrid,2014/2015
"Sami Khedira 36,  M(C)",189,90,3(8),296,-,-,2,-,0.3,84.8,0.6,-,6.31,Real Madrid,2014/2015
"Álvaro Medrán Just 30,  M(C)",170,69,0(2),17,-,-,-,-,0.5,91.7,-,-,6.1,Real Madrid,2014/2015
"José Giménez 29,  D(CR)",185,77,19(1),1752,1,3,3,-,0.4,78.5,3.4,2,7.52,Atletico Madrid,2014/2015
"Tiago 42,  M(C)",184,75,31,2592,5,4,5,-,0.7,81.3,2.4,3,7.48,Atletico Madrid,2014/2015
"Diego Godín 38,  D(C)",187,78,34,3060,3,-,11,-,0.7,76.1,3.4,1,7.38,Atletico Madrid,2014/2015
"Koke 32,  M(CLR)",176,77,33(1),2884,2,10,9,-,1.3,78.7,0.7,3,7.31,Atletico Madrid,2014/2015
"Mario Mandzukic 37,  M(L),FW",190,85,24(4),1945,12,5,10,-,2,66.3,2.9,3,7.21,Atletico Madrid,2014/2015
"Jesús Gámez 38,  D(LR)",177,75,12(2),1080,-,-,3,-,0.5,78.1,0.9,1,7.18,Atletico Madrid,2014/2015
"Antoine Griezmann 32,  AM(CLR),FW",176,73,29(8),2473,22,1,6,-,2.1,79.2,1.4,5,7.16,Atletico Madrid,2014/2015
"Gabi 40,  M(C)",180,74,32(2),2612,-,5,13,1,0.5,78.9,1.6,4,7.14,Atletico Madrid,2014/2015
"Cristian Ansaldi 37,  D(CLR),M(CLR)",181,76,6(1),576,-,-,-,-,0.4,66.2,0.9,-,7.1,Atletico Madrid,2014/2015
"Arda Turan 37,  AM(CLR)",177,76,28(4),2347,2,4,7,-,0.8,85.4,1.2,1,7.03,Atletico Madrid,2014/2015
"Miranda 39,  D(C)",186,78,23,2028,3,1,8,1,0.3,77,2.3,2,6.99,Atletico Madrid,2014/2015
"Raúl García 37,  M(CLR),FW",184,83,17(14),1690,5,3,8,-,1.7,61.6,3.7,1,6.96,Atletico Madrid,2014/2015
"Jan Oblak 31,  GK",188,87,11,990,-,-,2,-,-,47.7,0.4,-,6.94,Atletico Madrid,2014/2015
"Saúl Ñíguez 29,  D(CL),M(CLR)",184,76,9(15),1056,4,2,1,-,0.7,71.3,1.9,-,6.86,Atletico Madrid,2014/2015
"Juanfran 39,  D(R)",181,71,34(1),3102,-,4,6,-,0.2,76.7,0.5,-,6.82,Atletico Madrid,2014/2015
"Guilherme Siqueira 37,  D(L)",182,81,24(1),2083,1,1,5,2,0.4,75.3,0.5,2,6.73,Atletico Madrid,2014/2015
"Mario Suárez 37,  D(C),M(C)",188,80,11(9),1128,1,-,9,-,0.7,82.4,1.4,1,6.72,Atletico Madrid,2014/2015
"Fernando Torres 39,  FW",186,79,10(9),886,3,1,3,-,1.2,64.4,2.5,-,6.64,Atletico Madrid,2014/2015
"Miguel Ángel Moyá 39,  GK",188,83,27,2430,-,-,-,-,-,59.6,0.4,-,6.63,Atletico Madrid,2014/2015
"Raúl Jiménez 32,  FW",190,76,4(17),574,1,2,-,-,0.8,70,1,-,6.39,Atletico Madrid,2014/2015
"Cristian Rodríguez 38,  AM(CL)",177,92,0(6),63,-,-,-,-,0.2,76.5,0.5,-,6.16,Atletico Madrid,2014/2015
