Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Marcos Llorente 29,  D(R),M(CR),FW",184,74,33(4),2960,12,11,6,-,1.3,84.6,0.6,4,7.26,Atletico Madrid,2020/2021
"Kieran Trippier 33,  D(LR),M(R)",178,71,28,2477,-,6,-,-,0.1,79.4,1.5,2,7.2,Atletico Madrid,2020/2021
"Yannick Carrasco 30,  D(L),M(CLR),FW",181,73,25(5),2189,6,10,6,-,1.4,80.7,0.1,4,7.16,Atletico Madrid,2020/2021
"Luis Suárez 37,  AM(CLR),FW",182,72,30(2),2521,21,3,6,-,3.3,71.8,0.8,4,7.16,Atletico Madrid,2020/2021
"Thomas Partey 30,  D(R),M(CR)",185,77,2(1),199,-,-,1,-,1.7,89.1,0.7,1,7.09,Atletico Madrid,2020/2021
"Manu Sánchez 23,  D(L)",179,70,1,50,-,1,-,-,-,76,-,-,6.96,Atletico Madrid,2020/2021
"Ángel Correa 29,  AM(CLR),FW",171,68,29(9),2412,9,8,3,-,1.4,80,0.3,2,6.94,Atletico Madrid,2020/2021
"Stefan Savic 33,  D(C)",187,81,33,2954,1,-,15,-,0.2,85.2,2.8,2,6.91,Atletico Madrid,2020/2021
"Koke 32,  M(CLR)",176,77,34(3),3026,1,2,9,-,0.5,89.3,0.7,-,6.9,Atletico Madrid,2020/2021
"Jan Oblak 31,  GK",188,87,38,3420,-,-,-,-,-,58.9,0.2,2,6.87,Atletico Madrid,2020/2021
"Thomas Lemar 28,  AM(CLR)",171,63,19(8),1376,1,3,4,-,0.9,85.6,0.3,2,6.83,Atletico Madrid,2020/2021
"Mario Hermoso 28,  D(CL)",184,75,30(1),2584,1,1,5,-,0.6,84.2,1.1,-,6.8,Atletico Madrid,2020/2021
"José Giménez 29,  D(CR)",185,77,20(1),1766,-,-,5,-,0.7,87.5,2.2,-,6.78,Atletico Madrid,2020/2021
"Saúl Ñíguez 29,  D(CL),M(CLR)",184,76,22(11),2034,2,1,10,-,1,84.4,1.9,1,6.76,Atletico Madrid,2020/2021
"João Félix 24,  AM(CL),FW",181,70,14(17),1570,7,5,6,-,1.3,84,0.7,4,6.73,Atletico Madrid,2020/2021
"Felipe 34,  D(C)",190,83,23(8),2053,-,-,8,-,0.4,84.8,2.5,-,6.73,Atletico Madrid,2020/2021
"Renan Lodi 25,  D(L),M(L)",173,68,11(12),1126,1,2,3,-,0.5,83,0.4,-,6.71,Atletico Madrid,2020/2021
"Sime Vrsaljko 32,  D(LR),M(R)",181,76,6(3),521,-,-,2,-,-,72.6,2,-,6.6,Atletico Madrid,2020/2021
