Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Lionel Messi 36,  AM(CR),FW",170,72,32(4),2997,34,12,3,-,5.5,81.2,0.2,22,8.68,Barcelona,2017/2018
"Luis Suárez 37,  AM(CLR),FW",182,72,32(1),2902,25,12,9,-,3.7,76.9,0.4,5,7.72,Barcelona,2017/2018
"Philippe Coutinho 31,  M(CLR)",172,68,16(2),1304,8,5,1,-,2.1,86.9,0.3,2,7.66,Barcelona,2017/2018
"Jasper Cillessen 34,  GK",185,83,1,90,-,-,-,-,-,76.9,-,-,7.41,Barcelona,2017/2018
"Sergio Busquets 35,  DMC",189,74,30(1),2600,1,4,8,-,0.2,90.5,1.6,-,7.25,Barcelona,2017/2018
"Jordi Alba 34,  D(L),M(L)",170,68,30(3),2745,2,8,8,-,0.5,86.8,0.5,2,7.22,Barcelona,2017/2018
"Sergi Roberto 32,  D(R),M(CR)",178,68,24(6),2231,1,7,3,2,0.3,90.7,0.5,-,7.21,Barcelona,2017/2018
"Javier Mascherano 39,  D(C),M(C)",174,73,6(1),541,-,-,-,-,-,91.6,-,-,7.18,Barcelona,2017/2018
"Gerard Piqué 37,  D(C)",194,85,29(1),2633,2,-,9,-,0.6,89.4,2.2,-,7.16,Barcelona,2017/2018
"Ousmane Dembélé 26,  AM(CLR),FW",178,67,12(5),931,3,6,2,-,1.2,82,0.1,2,7.15,Barcelona,2017/2018
"Ivan Rakitic 36,  M(CL)",184,78,31(4),2839,1,5,4,-,0.8,90.3,0.7,-,7.12,Barcelona,2017/2018
"Samuel Umtiti 30,  D(CL)",182,75,24(1),2189,1,-,7,-,0.4,91.2,1.9,-,7.03,Barcelona,2017/2018
"Andrés Iniesta 39,  M(CL)",171,68,25(5),1843,1,2,1,-,0.5,88.2,0.1,-,6.91,Barcelona,2017/2018
"Marc-André ter Stegen 31,  GK",187,85,37,3330,-,-,-,-,-,79.5,0.1,-,6.9,Barcelona,2017/2018
"Yerry Mina 29,  D(C)",195,94,4(1),370,-,1,2,-,0.6,92.6,2.2,-,6.89,Barcelona,2017/2018
"Paulinho 35,  M(CR)",180,83,21(13),1941,9,2,2,-,1.3,87.8,0.9,-,6.87,Barcelona,2017/2018
"Gerard Deulofeu 30,  AM(CLR),FW",177,73,5(5),503,1,1,1,-,0.8,81.1,0.2,-,6.8,Barcelona,2017/2018
"Thomas Vermaelen 38,  D(CL)",183,80,12(2),1018,-,1,3,-,0.2,93.3,1.4,-,6.73,Barcelona,2017/2018
"Nélson Semedo 30,  D(LR),M(R)",177,69,17(7),1495,-,-,1,-,0.1,87.9,0.3,-,6.73,Barcelona,2017/2018
"Lucas Digne 30,  D(CL),M(L)",178,74,8(4),702,-,2,2,-,0.2,87.9,0.8,-,6.72,Barcelona,2017/2018
"Denis Suárez 30,  M(CLR)",176,69,4(14),585,2,2,1,-,0.7,84.6,0.1,-,6.66,Barcelona,2017/2018
"Paco Alcácer 30,  AM(R),FW",175,72,8(9),695,4,3,-,-,0.9,82.1,0.4,-,6.62,Barcelona,2017/2018
"André Gomes 30,  M(CLR)",188,84,6(10),629,-,-,1,-,0.4,89.2,0.9,-,6.39,Barcelona,2017/2018
"Aleix Vidal 34,  D(R),M(LR)",177,70,4(11),455,1,1,-,-,0.5,78,0.2,-,6.36,Barcelona,2017/2018
"José Arnaiz 28,  AM(L),FW",175,70,0(1),5,-,-,-,-,-,75,-,-,6.21,Barcelona,2017/2018
"Filipe Luís 38,  D(L)",181,77,19(1),1660,1,2,4,-,0.3,83.4,0.9,2,7.45,Atletico Madrid,2017/2018
"Saúl Ñíguez 29,  D(CL),M(CLR)",184,76,35(1),3157,2,3,9,-,1.5,82.4,2.1,2,7.4,Atletico Madrid,2017/2018
"Antoine Griezmann 32,  AM(CLR),FW",176,73,30(2),2530,19,9,7,1,2.3,77.6,0.8,8,7.38,Atletico Madrid,2017/2018
"Lucas Hernández 28,  D(CL)",184,79,24(3),2117,-,1,6,1,0.3,82.9,1.6,1,7.24,Atletico Madrid,2017/2018
"Thomas Partey 30,  D(R),M(CR)",185,77,28(5),2383,3,-,6,-,0.7,83.3,1.5,3,7.15,Atletico Madrid,2017/2018
"Sime Vrsaljko 32,  D(LR),M(R)",181,76,19(2),1697,-,4,7,-,0.2,74.8,2.1,-,7.09,Atletico Madrid,2017/2018
"Koke 32,  M(CLR)",176,77,33(2),2764,4,4,3,-,0.8,85.2,0.5,1,7.08,Atletico Madrid,2017/2018
"Diego Godín 38,  D(C)",187,78,28(2),2554,-,-,6,-,0.4,85.8,1.9,-,7.07,Atletico Madrid,2017/2018
"Axel Werner 28,  GK",192,85,1,90,-,-,-,-,-,25,-,-,7.06,Atletico Madrid,2017/2018
"Jan Oblak 31,  GK",188,87,37,3330,-,-,1,-,-,50.2,0.1,3,6.98,Atletico Madrid,2017/2018
"José Giménez 29,  D(CR)",185,77,17(6),1684,1,1,6,-,0.5,79.5,2.5,-,6.95,Atletico Madrid,2017/2018
"Stefan Savic 33,  D(C)",187,81,26(1),2299,-,-,6,-,0.1,81.7,1.7,1,6.91,Atletico Madrid,2017/2018
"Yannick Carrasco 30,  D(L),M(CLR),FW",181,73,8(9),900,3,4,3,-,1.5,79.8,-,-,6.91,Atletico Madrid,2017/2018
"Ángel Correa 29,  AM(CLR),FW",171,68,27(10),2265,8,4,3,1,1.3,73.6,0.2,2,6.85,Atletico Madrid,2017/2018
"Diego Costa 35,  FW",188,83,13(2),1048,3,3,6,1,1.7,75.4,1.7,1,6.84,Atletico Madrid,2017/2018
"Gabi 40,  M(C)",180,74,25(9),2347,-,1,8,-,0.3,85,0.6,-,6.81,Atletico Madrid,2017/2018
"Carlos Isaac 25,  D(R)",184,74,1,64,-,-,1,-,1,87.5,2,-,6.81,Atletico Madrid,2017/2018
"Juanfran 39,  D(R)",181,71,15(2),1308,-,1,3,-,0.2,81.7,0.3,-,6.75,Atletico Madrid,2017/2018
"Vitolo 34,  M(CLR),FW",185,80,8(6),621,1,2,1,1,0.6,78.7,0.6,-,6.53,Atletico Madrid,2017/2018
"Kevin Gameiro 36,  AM(C),FW",172,70,11(14),1119,7,2,-,-,0.8,77.8,0.4,-,6.51,Atletico Madrid,2017/2018
"Nicolás Gaitán 36,  M(CLR),FW",173,66,1(5),217,-,-,-,-,1,78.5,0.7,-,6.49,Atletico Madrid,2017/2018
"Fernando Torres 40,  FW",186,79,7(20),966,5,-,2,-,1.1,60.6,1.9,1,6.46,Atletico Madrid,2017/2018
"Luciano Vietto 30,  AM(CLR),FW",174,73,4(2),272,-,-,1,-,1.3,86.1,0.2,-,6.36,Atletico Madrid,2017/2018
"Augusto Fernández 37,  M(CR)",177,73,1(4),105,-,-,1,-,0.2,81.7,0.4,-,6.29,Atletico Madrid,2017/2018
"Arona Sané 28,  Midfielder",173,0,0(1),64,-,-,-,-,1,66.7,2,-,6.07,Atletico Madrid,2017/2018
"Toni Moya 26,  DMC",180,78,0(1),2,-,-,-,-,-,100,-,-,6.04,Atletico Madrid,2017/2018
"Cristiano Ronaldo 39,  M(L),FW",187,83,27,2293,26,5,1,-,6.6,81.6,1.3,7,7.94,Real Madrid,2017/2018
"Casemiro 32,  DMC",185,84,30,2601,5,3,8,-,1.1,88.4,2.1,1,7.49,Real Madrid,2017/2018
"Gareth Bale 34,  M(CLR),FW",186,81,20(6),1803,16,2,5,-,3,82.5,1.3,6,7.49,Real Madrid,2017/2018
"Toni Kroos 34,  M(C)",183,76,26(1),2268,5,7,4,-,1.5,93.1,0.4,-,7.47,Real Madrid,2017/2018
"Achraf Hakimi 25,  D(LR),M(R)",181,73,8(1),757,2,-,-,-,0.3,86.5,1,1,7.34,Real Madrid,2017/2018
"Luka Modric 38,  M(C)",172,66,23(3),1976,1,6,3,-,1.3,89.9,0.3,-,7.29,Real Madrid,2017/2018
"Isco 31,  M(CLR),FW",176,79,21(9),1781,7,7,1,-,1.6,88.8,0.2,3,7.16,Real Madrid,2017/2018
"Sergio Ramos 37,  D(CR)",184,82,26,2292,4,1,7,2,1.1,90.3,3.3,1,7.09,Real Madrid,2017/2018
"Marcelo 35,  D(L),M(L)",173,72,26(2),2262,2,6,3,1,1.2,84.6,0.3,1,7.07,Real Madrid,2017/2018
"Dani Carvajal 32,  D(R)",173,73,25,2223,-,2,11,1,0.5,87.2,0.8,1,7.06,Real Madrid,2017/2018
"Marco Asensio 28,  AM(CLR),FW",182,76,19(13),1839,6,6,2,-,1.8,90.2,0.1,2,7.02,Real Madrid,2017/2018
"Karim Benzema 36,  FW",185,81,25(7),2156,5,10,-,-,2,82.9,0.3,1,7,Real Madrid,2017/2018
"Théo Hernández 26,  D(CL),M(L)",184,81,10(3),963,-,-,1,-,0.2,87.3,0.8,-,6.98,Real Madrid,2017/2018
"Jesús Vallejo 27,  D(CR)",184,79,7,630,-,-,-,-,-,87.2,1.3,-,6.95,Real Madrid,2017/2018
"Keylor Navas 37,  GK",185,80,27,2430,-,-,1,-,-,76,0.1,1,6.94,Real Madrid,2017/2018
"Lucas Vázquez 32,  D(R),M(R)",173,70,16(17),1670,4,7,3,-,1,86.7,0.2,-,6.91,Real Madrid,2017/2018
"Nacho 34,  D(CLR)",180,76,22(5),2073,3,-,7,-,0.3,90.8,1.4,-,6.9,Real Madrid,2017/2018
"Raphaël Varane 30,  D(C)",191,81,27,2324,-,1,3,-,0.4,90.8,1.9,1,6.85,Real Madrid,2017/2018
"Mateo Kovacic 29,  M(CL)",177,78,10(11),989,-,1,2,-,0.4,93.7,-,2,6.73,Real Madrid,2017/2018
"Dani Ceballos 27,  M(CL)",179,70,4(8),397,2,-,-,-,0.6,93.6,-,1,6.57,Real Madrid,2017/2018
"Kiko Casilla 37,  GK",190,86,10,900,-,-,-,-,-,75.3,0.2,-,6.53,Real Madrid,2017/2018
"Borja Mayoral 26,  AM(R),FW",182,74,3(11),338,3,1,-,-,1.1,84.2,0.3,-,6.52,Real Madrid,2017/2018
"Marcos Llorente 29,  D(R),M(CR),FW",184,74,5(8),540,-,-,1,-,0.5,93.5,0.6,-,6.45,Real Madrid,2017/2018
"Luca Zidane 25,  GK",183,78,1,90,-,-,-,-,-,92.3,1,-,6.17,Real Madrid,2017/2018
"João Cancelo 29,  D(LR),M(R)",182,74,1,90,-,-,-,-,4,63.4,1,-,7.65,Valencia,2017/2018
"Dani Parejo 34,  M(C)",182,74,34,3005,7,7,15,1,1.3,85.6,0.5,7,7.41,Valencia,2017/2018
"Geoffrey Kondogbia 31,  D(C),DMC",188,80,30(1),2618,4,4,11,1,0.9,87.4,1.5,4,7.4,Valencia,2017/2018
"Francis Coquelin 32,  M(CLR)",176,74,7(2),656,1,-,2,-,0.4,84.2,2.2,1,7.16,Valencia,2017/2018
"Gonçalo Guedes 27,  AM(CLR),FW",179,68,27(6),2444,5,9,2,-,1.8,79.3,0.3,3,7.16,Valencia,2017/2018
"José Gayà 28,  D(L),M(L)",172,66,33(1),2918,-,3,11,-,0.4,82,0.7,-,7.1,Valencia,2017/2018
"Martín Montoya 32,  D(LR),M(R)",175,73,24(1),2152,-,4,7,-,0.3,79.3,1.4,1,7.09,Valencia,2017/2018
"Jeison Murillo 31,  D(C)",182,78,15(2),1374,-,-,4,-,0.1,89.2,2.7,-,7.09,Valencia,2017/2018
"Rodrigo 33,  M(CLR),FW",182,77,31(6),2696,16,4,4,-,2.5,76.2,0.9,2,7.05,Valencia,2017/2018
"Gabriel Paulista 33,  D(CR)",185,72,29(1),2584,-,-,5,1,0.5,86.9,2.1,-,6.89,Valencia,2017/2018
