Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Lionel Messi 36,  AM(CR),FW",170,72,31(2),2730,26,16,3,-,4.8,81.9,0.2,13,8.46,Barcelona,2015/2016
"Neymar 32,  AM(CLR),FW",175,68,34,3057,24,12,6,-,3.6,80.9,0.6,7,8.43,Barcelona,2015/2016
"Luis Suárez 37,  AM(CLR),FW",182,72,35,3150,40,16,6,-,3.9,73.1,0.4,8,8,Barcelona,2015/2016
"Sergio Busquets 35,  DMC",189,74,34(1),2906,-,4,6,-,0.2,89.8,1.7,1,7.28,Barcelona,2015/2016
"Andrés Iniesta 39,  M(CL)",171,68,25(3),2248,1,2,2,-,0.8,88.3,0.4,1,7.24,Barcelona,2015/2016
"Ivan Rakitic 36,  M(CL)",184,78,30(6),2581,7,2,3,-,1.3,88.1,0.9,2,7.17,Barcelona,2015/2016
"Gerard Piqué 37,  D(C)",194,85,30,2592,2,1,12,-,0.4,90.5,2,1,7.14,Barcelona,2015/2016
"Dani Alves 40,  D(R),M(CR)",172,70,24(5),2149,-,4,6,-,0.6,87.2,0.6,-,7.05,Barcelona,2015/2016
"Jordi Alba 34,  D(L),M(L)",170,68,29(2),2591,-,6,2,-,0.2,87.2,0.5,-,7.05,Barcelona,2015/2016
"Javier Mascherano 39,  D(C),M(C)",174,73,31(1),2694,-,-,9,1,0.1,90.5,1.2,-,7.01,Barcelona,2015/2016
"Sergi Roberto 32,  D(R),M(CR)",178,68,21(10),1916,-,5,1,-,0.5,88.1,0.7,2,6.93,Barcelona,2015/2016
"Claudio Bravo 40,  GK",184,80,32,2878,-,-,-,-,-,84.3,0.1,-,6.92,Barcelona,2015/2016
"Thomas Vermaelen 38,  D(CL)",183,80,6(4),506,1,-,2,-,0.3,91.8,1.3,-,6.91,Barcelona,2015/2016
"Marc Bartra 33,  D(CR),DMC",184,70,4(9),496,2,1,-,-,0.4,87.9,1.1,-,6.85,Barcelona,2015/2016
"Jérémy Mathieu 40,  D(CL)",189,82,12(9),1263,-,2,2,-,0.3,88,1.2,-,6.76,Barcelona,2015/2016
"Aleix Vidal 34,  D(R),M(LR)",177,70,6(3),543,-,1,1,-,0.1,86.9,0.3,-,6.76,Barcelona,2015/2016
"Rafinha 32,  M(CLR)",174,71,3(3),281,1,-,-,-,0.3,84.2,0.7,-,6.76,Barcelona,2015/2016
"Munir El Haddadi 28,  AM(CLR),FW",175,69,8(7),825,3,2,-,-,1.1,78.7,0.4,-,6.74,Barcelona,2015/2016
"Arda Turan 37,  AM(CLR)",177,76,9(9),816,2,3,5,-,0.6,92.3,0.2,-,6.73,Barcelona,2015/2016
"Adriano 39,  D(CLR),M(L)",172,75,4(4),431,-,1,-,-,0.1,91.3,0.4,-,6.68,Barcelona,2015/2016
"Sergi Samper 29,  DMC",182,73,0(1),29,-,-,-,-,-,81.5,2,-,6.5,Barcelona,2015/2016
"Marc-André ter Stegen 31,  GK",187,85,6(1),542,-,-,-,-,-,83.4,0.1,-,6.48,Barcelona,2015/2016
"Sandro Ramírez 28,  AM(LR),FW",175,71,4(6),347,-,1,-,-,1,83.3,-,-,6.34,Barcelona,2015/2016
"Gerard Gumbau 29,  DMC",187,77,0(3),43,-,-,-,-,-,84.2,-,-,6.13,Barcelona,2015/2016
"Douglas 33,  D(R),M(R)",171,70,0(1),12,-,-,-,-,-,50,-,-,6.08,Barcelona,2015/2016
"Gareth Bale 34,  M(CLR),FW",186,81,21(2),1741,19,10,2,-,3.5,79.9,0.9,5,8.12,Real Madrid,2015/2016
"Cristiano Ronaldo 39,  M(L),FW",187,83,36,3185,35,11,3,-,6.3,79.4,1.6,8,7.99,Real Madrid,2015/2016
"Karim Benzema 36,  FW",185,81,26(1),1994,24,7,1,-,3.6,81.5,0.4,3,7.65,Real Madrid,2015/2016
"Marcelo 35,  D(L),M(L)",173,72,28(2),2474,2,3,2,-,0.6,84.3,0.2,2,7.44,Real Madrid,2015/2016
"Luka Modric 38,  M(C)",172,66,31(1),2629,2,4,5,-,1.1,90.9,0.3,6,7.37,Real Madrid,2015/2016
"Toni Kroos 34,  M(C)",183,76,32,2745,1,10,3,-,0.6,93.9,0.3,-,7.33,Real Madrid,2015/2016
"James Rodríguez 32,  AM(CLR),FW",180,75,17(9),1518,7,8,1,-,1.5,86.9,0.2,2,7.32,Real Madrid,2015/2016
"Casemiro 32,  DMC",185,84,17(6),1526,1,3,7,-,0.9,87.2,1.9,1,7.3,Real Madrid,2015/2016
"Danilo 32,  D(CLR),DMC",184,78,23(1),2044,2,5,6,-,0.8,86,1.3,-,7.27,Real Madrid,2015/2016
"Pepe 41,  D(C)",188,81,21,1887,1,1,5,-,0.6,87.6,2.7,-,7.27,Real Madrid,2015/2016
"Dani Carvajal 32,  D(R)",173,73,19(3),1638,-,4,6,-,0.4,88,1,-,7.22,Real Madrid,2015/2016
"Lucas Vázquez 32,  D(R),M(R)",173,70,10(15),1231,4,6,4,-,0.9,85.8,0.2,1,7.21,Real Madrid,2015/2016
"Sergio Ramos 37,  D(CR)",184,82,23,1946,2,2,7,2,0.8,90.3,1.7,-,7.15,Real Madrid,2015/2016
"Keylor Navas 37,  GK",185,80,34,3060,-,-,-,-,-,63.4,0.4,1,7.12,Real Madrid,2015/2016
"Isco 31,  M(CLR),FW",176,79,21(10),1826,3,7,2,1,1.3,89.2,0.3,-,7.09,Real Madrid,2015/2016
"Kiko Casilla 37,  GK",190,86,4,360,-,-,-,-,-,60.8,-,-,6.99,Real Madrid,2015/2016
"Nacho 34,  D(CLR)",180,76,12(4),1153,-,-,5,-,0.3,89.8,1.6,-,6.98,Real Madrid,2015/2016
