Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Toni Kroos 34,  M(C)",183,76,28(1),2501,3,12,6,-,1.1,92.2,0.4,3,7.67,Real Madrid,2016/2017
"Cristiano Ronaldo 39,  M(L),FW",187,83,29,2544,25,6,4,-,5.6,80,1.2,4,7.61,Real Madrid,2016/2017
"Gareth Bale 34,  M(CLR),FW",186,81,17(2),1425,7,2,3,1,3.4,78.9,1.7,3,7.49,Real Madrid,2016/2017
"Danilo 32,  D(CLR),DMC",184,78,17,1488,1,2,2,-,0.6,86.4,1.7,-,7.41,Real Madrid,2016/2017
"James Rodríguez 32,  AM(CLR),FW",180,75,13(9),1180,8,6,1,-,1.5,89.1,0.3,2,7.27,Real Madrid,2016/2017
"Isco 31,  M(CLR),FW",176,79,18(12),1638,10,8,4,-,1.1,89.4,0.2,5,7.24,Real Madrid,2016/2017
"Luka Modric 38,  M(C)",172,66,22(3),1892,1,2,2,-,0.8,89.1,0.4,2,7.23,Real Madrid,2016/2017
"Dani Carvajal 32,  D(R)",173,73,21(2),2015,-,4,11,-,0.4,86.9,1.3,-,7.22,Real Madrid,2016/2017
"Pepe 41,  D(C)",188,81,13,1081,2,1,1,-,0.4,85.3,3.2,1,7.22,Real Madrid,2016/2017
"Marcelo 35,  D(L),M(L)",173,72,26(4),2277,2,10,2,-,0.8,81.6,0.3,2,7.17,Real Madrid,2016/2017
"Álvaro Morata 31,  AM(L),FW",190,84,14(12),1334,15,4,8,-,2.1,78.8,0.9,1,7.17,Real Madrid,2016/2017
"Casemiro 32,  DMC",185,84,20(5),1709,4,-,9,-,0.6,85.6,1.7,1,7.16,Real Madrid,2016/2017
"Mateo Kovacic 29,  M(CL)",177,78,19(8),1689,1,3,2,-,0.5,91.3,0.1,1,7.12,Real Madrid,2016/2017
"Sergio Ramos 37,  D(CR)",184,82,28,2489,7,-,8,1,1.3,89.6,2.7,1,7.1,Real Madrid,2016/2017
"Karim Benzema 36,  FW",185,81,23(6),1914,11,5,-,-,2.4,80.8,0.6,3,7.06,Real Madrid,2016/2017
"Raphaël Varane 30,  D(C)",191,81,23,1928,1,2,1,-,0.5,87.8,2.3,-,7.03,Real Madrid,2016/2017
"Nacho 34,  D(CLR)",180,76,24(4),2302,2,3,5,-,0.3,91.7,1.5,-,7.01,Real Madrid,2016/2017
"Marco Asensio 28,  AM(CLR),FW",182,76,11(12),1077,3,2,-,-,1.1,89.2,0.2,-,6.84,Real Madrid,2016/2017
"Lucas Vázquez 32,  D(R),M(R)",173,70,12(21),1386,2,7,4,-,0.9,84,0.1,-,6.82,Real Madrid,2016/2017
"Fábio Coentrão 36,  D(L),M(LR)",178,66,2(1),169,-,1,-,-,0.3,93.6,0.7,-,6.82,Real Madrid,2016/2017
"Keylor Navas 37,  GK",185,80,27,2430,-,-,2,-,-,67.1,0.2,2,6.78,Real Madrid,2016/2017
"Kiko Casilla 37,  GK",190,86,11,990,-,-,-,-,-,67.4,0.5,-,6.73,Real Madrid,2016/2017
"Mariano Díaz 30,  FW",180,76,0(8),115,1,1,-,-,0.6,81.8,0.6,-,6.26,Real Madrid,2016/2017
"Álvaro Tejero 27,  D(R)",174,69,0(1),2,-,-,-,-,-,-,-,-,6.02,Real Madrid,2016/2017
"Neymar 32,  AM(CLR),FW",175,68,30,2652,13,11,6,1,3.5,76.5,0.3,9,8.52,Barcelona,2016/2017
"Lionel Messi 36,  AM(CR),FW",170,72,32(2),2833,37,9,6,-,5.3,80.2,0.2,16,8.47,Barcelona,2016/2017
"Luis Suárez 37,  AM(CLR),FW",182,72,34(1),2865,29,13,8,-,3.4,74.8,0.3,4,7.8,Barcelona,2016/2017
"Aleix Vidal 34,  D(R),M(LR)",177,70,5(1),472,2,2,-,-,1.5,82.4,0.3,-,7.34,Barcelona,2016/2017
"Gerard Piqué 37,  D(C)",194,85,25,2193,2,-,6,-,0.8,90.2,2.2,-,7.2,Barcelona,2016/2017
"Ivan Rakitic 36,  M(CL)",184,78,26(6),2345,8,5,5,-,1.5,85.8,0.9,1,7.18,Barcelona,2016/2017
"Arda Turan 37,  AM(CLR)",177,76,14(4),1244,3,3,1,-,0.8,87.1,0.6,-,7.15,Barcelona,2016/2017
"Rafinha 32,  M(CLR)",174,71,14(4),1078,6,2,1,-,1.4,92.6,0.2,1,7.15,Barcelona,2016/2017
"Sergio Busquets 35,  DMC",189,74,33,2693,-,3,9,-,0.1,89.9,1.3,-,7.02,Barcelona,2016/2017
"Sergi Roberto 32,  D(R),M(CR)",178,68,26(6),2383,-,6,5,-,0.5,88,1,-,7.01,Barcelona,2016/2017
"Samuel Umtiti 30,  D(CL)",182,75,24(1),2133,1,-,4,-,0.2,92.9,1.8,-,6.98,Barcelona,2016/2017
"Marlon 28,  D(C)",182,80,2,180,-,-,-,-,-,95.5,0.5,-,6.96,Barcelona,2016/2017
"Andrés Iniesta 39,  M(CL)",171,68,13(10),1332,-,3,2,-,0.8,88.9,0.2,1,6.93,Barcelona,2016/2017
"Lucas Digne 30,  D(CL),M(L)",178,74,14(3),1175,-,-,3,-,0.3,87.3,1.2,-,6.92,Barcelona,2016/2017
"Jordi Alba 34,  D(L),M(L)",170,68,21(5),1966,1,6,4,-,0.2,88.8,0.5,-,6.91,Barcelona,2016/2017
"Marc-André ter Stegen 31,  GK",187,85,36,3240,-,-,1,-,-,81.2,0.1,-,6.85,Barcelona,2016/2017
"Javier Mascherano 39,  D(C),M(C)",174,73,20(5),1917,1,3,6,-,0.4,91,0.5,-,6.83,Barcelona,2016/2017
"Jérémy Mathieu 40,  D(CL)",189,82,12(1),1040,1,-,-,-,0.4,88.3,1,-,6.79,Barcelona,2016/2017
"Paco Alcácer 30,  AM(R),FW",175,72,6(14),849,6,3,1,-,1.3,79.9,0.3,1,6.73,Barcelona,2016/2017
"André Gomes 30,  M(CLR)",188,84,17(13),1591,3,1,3,-,0.6,88.1,0.8,-,6.65,Barcelona,2016/2017
"Denis Suárez 30,  M(CLR)",176,69,12(14),1182,1,3,1,-,0.5,86,0.2,-,6.57,Barcelona,2016/2017
"Munir El Haddadi 28,  AM(CLR),FW",175,69,0(1),20,-,-,-,-,-,100,-,-,6.15,Barcelona,2016/2017
"Carles Aleñá 26,  AM(CLR)",180,73,0(3),40,-,-,1,-,0.3,90.9,-,-,6.13,Barcelona,2016/2017
"Jasper Cillessen 34,  GK",185,83,1,90,-,-,-,-,-,100,-,-,6.06,Barcelona,2016/2017
"Claudio Bravo 40,  GK",184,80,1,90,-,-,-,-,-,93.8,-,-,5.67,Barcelona,2016/2017
"Filipe Luís 38,  D(L)",181,77,34,3009,3,6,5,-,0.7,82.7,0.9,6,7.55,Atletico Madrid,2016/2017
"Antoine Griezmann 32,  AM(CLR),FW",176,73,36,3067,16,8,3,-,2.4,78.3,1.2,4,7.37,Atletico Madrid,2016/2017
"Saúl Ñíguez 29,  D(CL),M(CLR)",184,76,29(4),2544,4,3,8,-,1.4,77.4,2.6,4,7.31,Atletico Madrid,2016/2017
"Diego Godín 38,  D(C)",187,78,30(1),2706,3,1,10,1,1,79.5,3.1,1,7.23,Atletico Madrid,2016/2017
"José Giménez 29,  D(CR)",185,77,12(5),1013,-,-,5,-,0.8,73.7,2.9,3,7.17,Atletico Madrid,2016/2017
"Koke 32,  M(CLR)",176,77,36,3171,4,8,6,1,0.8,84,0.3,1,7.16,Atletico Madrid,2016/2017
"Gabi 40,  M(C)",180,74,33(1),2897,-,-,9,-,0.7,81.7,1.2,1,7.14,Atletico Madrid,2016/2017
"Lucas Hernández 28,  D(CL)",184,79,13(2),1253,-,-,2,-,0.1,79,2.5,-,7.04,Atletico Madrid,2016/2017
"Stefan Savic 33,  D(C)",187,81,30(2),2727,1,1,5,1,0.1,78.2,1.8,-,7.02,Atletico Madrid,2016/2017
"Yannick Carrasco 30,  D(L),M(CLR),FW",181,73,27(8),2270,10,4,5,-,2.4,83,0.4,3,7.01,Atletico Madrid,2016/2017
"Sime Vrsaljko 32,  D(LR),M(R)",181,76,11(3),924,-,-,2,-,0.2,68.5,1.4,-,6.95,Atletico Madrid,2016/2017
"Miguel Ángel Moyá 39,  GK",188,83,8(1),770,-,-,-,-,-,53.2,0.2,1,6.91,Atletico Madrid,2016/2017
"Juanfran 39,  D(R)",181,71,21(2),1979,-,2,2,-,0.1,78,0.5,-,6.9,Atletico Madrid,2016/2017
"Augusto Fernández 37,  M(CR)",177,73,2(1),143,-,-,-,-,-,90.7,1.7,-,6.87,Atletico Madrid,2016/2017
"Nicolás Gaitán 36,  M(CLR),FW",173,66,11(12),1023,3,2,1,-,0.4,80.3,0.4,-,6.82,Atletico Madrid,2016/2017
"Kevin Gameiro 36,  AM(C),FW",172,70,21(10),1716,12,5,-,-,1.6,72.3,0.5,1,6.82,Atletico Madrid,2016/2017
"Ángel Correa 29,  AM(CLR),FW",171,68,10(21),1218,4,8,6,-,1.2,74.6,0.3,-,6.77,Atletico Madrid,2016/2017
"Thomas Partey 30,  D(R),M(CR)",185,77,6(10),631,1,2,5,-,0.5,83.7,1,-,6.71,Atletico Madrid,2016/2017
"Jan Oblak 31,  GK",188,87,30,2650,-,-,1,-,-,55.9,0.2,-,6.67,Atletico Madrid,2016/2017
"Fernando Torres 40,  FW",186,79,13(18),1419,8,5,3,-,1.5,64.3,1.5,1,6.66,Atletico Madrid,2016/2017
"Tiago 42,  M(C)",184,75,5(7),449,1,-,2,-,0.4,86.7,0.4,-,6.48,Atletico Madrid,2016/2017
"Alessio Cerci 36,  M(R),FW",178,78,0(1),14,-,-,-,-,-,50,1,-,6.24,Atletico Madrid,2016/2017
"Sergio Escudero 34,  D(L),M(L)",176,65,25(1),2282,-,3,7,-,1.2,82.2,1.8,2,7.21,Sevilla,2016/2017
"Steven Nzonzi 35,  M(C)",196,75,34(1),3067,2,3,6,-,0.9,89.9,3,-,7.13,Sevilla,2016/2017
"Vitolo 34,  M(CLR),FW",185,80,25(5),2336,6,6,5,1,1.1,83.9,0.6,2,7.08,Sevilla,2016/2017
"Franco Vázquez 35,  AM(CLR),FW",187,82,26(4),2092,7,3,8,-,1.8,77.5,1.3,3,7.03,Sevilla,2016/2017
"David Soria 30,  GK",192,85,1,90,-,-,-,-,-,84.2,-,-,7.01,Sevilla,2016/2017
"Pablo Sarabia 31,  D(L),M(CLR),FW",174,70,22(12),2134,8,8,10,-,1.3,79.1,0.4,1,6.93,Sevilla,2016/2017
"Samir Nasri 36,  M(CLR)",175,75,22(1),1845,2,3,7,-,1.1,89.5,-,-,6.92,Sevilla,2016/2017
"Mariano 37,  D(R),M(R)",182,76,29(2),2643,-,2,9,-,0.3,81.1,0.5,-,6.9,Sevilla,2016/2017
"Stevan Jovetic 34,  AM(CL),FW",183,79,12(9),1206,6,4,4,-,2.8,72.1,0.9,1,6.84,Sevilla,2016/2017
"Sergio Rico 30,  GK",195,90,35,3150,-,-,-,-,-,60.5,0.3,2,6.82,Sevilla,2016/2017
"Nicolás Pareja 40,  D(C)",181,75,27,2168,1,1,6,1,0.3,81.2,1.5,1,6.82,Sevilla,2016/2017
"Clément Lenglet 28,  D(C)",186,81,15(2),1359,-,-,2,-,0.1,82.5,1.4,-,6.8,Sevilla,2016/2017
"Iborra 36,  M(C)",190,80,12(19),1473,7,2,9,-,1,82.1,2.1,3,6.8,Sevilla,2016/2017
"Adil Rami 38,  D(C)",190,90,21,1785,-,-,3,1,0.5,83.7,1.9,-,6.78,Sevilla,2016/2017
"Hiroshi Kiyotake 34,  AM(CLR)",172,66,3(1),286,1,2,-,-,0.5,79.5,0.5,-,6.75,Sevilla,2016/2017
"Timothée Kolodziejczak 32,  D(CL),M(L)",185,75,3(2),329,-,-,1,-,0.6,85.6,0.6,-,6.74,Sevilla,2016/2017
"Wissam Ben Yedder 33,  AM(C),FW",170,68,20(11),1667,11,4,-,-,1.4,75.2,0.5,2,6.73,Sevilla,2016/2017
"Ganso 34,  AM(C),FW",184,79,5(5),485,2,1,-,-,1.1,86.6,0.2,1,6.72,Sevilla,2016/2017
"Luciano Vietto 30,  AM(CLR),FW",174,73,14(7),1313,6,3,3,-,1.5,80.8,-,1,6.68,Sevilla,2016/2017
"Gabriel Mercado 37,  D(CR)",181,82,26(3),2188,3,1,10,-,0.4,79.7,0.9,1,6.67,Sevilla,2016/2017
"Joaquín Correa 29,  AM(CL),FW",189,75,15(11),1312,4,-,6,-,1.3,82.6,0.3,2,6.65,Sevilla,2016/2017
"Michael Krohn-Dehli 40,  M(CLR)",171,70,2,172,-,-,-,-,1.5,90.8,0.5,-,6.61,Sevilla,2016/2017
"Matías Kranevitter 30,  DMC",177,75,14(7),1283,-,-,6,-,0.1,90.9,0.4,-,6.52,Sevilla,2016/2017
"Carlos Fernández 27,  AM(C),FW",185,72,1(2),88,1,-,-,-,1,60,0.3,-,6.35,Sevilla,2016/2017
"Daniel Carriço 35,  D(C),DMC",180,79,6,454,-,-,2,-,-,81.3,0.7,-,6.34,Sevilla,2016/2017
"Walter Montoya 30,  M(CR)",172,73,1(3),111,-,-,-,-,0.5,82.5,-,-,6.25,Sevilla,2016/2017
"Diego González 29,  D(CL)",185,83,0(3),31,-,-,-,-,-,75,-,-,6.23,Sevilla,2016/2017
"Salvatore Sirigu 37,  GK",192,80,2,178,-,-,-,1,-,69,1,-,6.04,Sevilla,2016/2017
"Cote 34,  D(L)",182,74,7,630,-,1,2,-,1,82.4,0.4,2,7.54,Villarreal,2016/2017
"Bruno Soriano 39,  M(C)",184,73,33(1),2984,5,2,5,-,0.5,90.5,1.2,-,7.25,Villarreal,2016/2017
"Mario Gaspar 33,  D(CR),M(R)",182,74,36,3240,-,3,6,-,0.9,77.3,1.6,2,7.1,Villarreal,2016/2017
"Manu Trigueros 32,  M(CLR),FW",178,75,35(2),3043,5,1,4,-,1.2,86.4,0.7,4,7.03,Villarreal,2016/2017
"Jaume Costa 36,  D(LR),M(L)",171,62,30(1),2681,1,3,12,1,0.3,80.1,1.3,3,7.02,Villarreal,2016/2017
"Roberto Soriano 33,  AM(CLR)",182,76,31(2),2471,9,5,8,1,1.2,79.9,0.8,2,6.98,Villarreal,2016/2017
"Roberto Soldado 38,  FW",180,74,12,748,4,3,8,-,1.4,72.1,0.4,-,6.93,Villarreal,2016/2017
"Samu Castillejo 29,  AM(CLR),FW",182,67,24(9),2050,2,3,2,-,1,78.8,0.6,2,6.9,Villarreal,2016/2017
"Andrés Fernández 37,  GK",187,82,14(1),1315,-,-,2,-,-,49.9,0.5,1,6.9,Villarreal,2016/2017
