Player_1,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Papu Gómez 36,  M(CLR),FW",167,68,11(8),1063,1,1,4,-,1.2,88.6,0.2,-,6.42,Sevilla,2022/2023
"Yassine Bounou 32,  GK",195,78,26,2154,-,-,2,-,-,73.3,0.2,1,6.42,Sevilla,2022/2023
"Rafa Mir 26,  FW",191,86,16(10),1300,6,-,1,-,1.9,69.3,1.4,1,6.39,Sevilla,2022/2023
"Tanguy Nianzou 21,  D(C)",187,83,16(3),1370,1,-,1,1,0.3,88,1.7,-,6.38,Sevilla,2022/2023
"Gonzalo Montiel 27,  D(CR),M(R)",175,68,17(11),1522,-,3,8,1,0.3,80.8,0.5,-,6.35,Sevilla,2022/2023
"Joan Jordán 29,  M(C)",184,74,19(4),1595,-,1,8,-,0.6,88.5,0.5,-,6.35,Sevilla,2022/2023
"José Ángel Carmona 22,  D(CR),M(R)",183,0,5(5),529,2,1,4,1,0.5,84.4,0.3,1,6.35,Sevilla,2022/2023
"Kike Salas 21,  D(C)",185,0,4(2),370,1,1,1,1,0.5,84.3,1.5,1,6.34,Sevilla,2022/2023
"Adnan Januzaj 29,  AM(CLR)",186,76,1(1),47,-,-,-,-,-,68.2,-,-,6.34,Sevilla,2022/2023
"Kasper Dolberg 26,  FW",186,82,2(2),198,-,1,-,-,0.5,70.4,0.8,-,6.32,Sevilla,2022/2023
"Thomas Delaney 32,  DMC",182,79,2(6),307,-,-,3,-,0.4,87.3,1.1,-,6.2,Sevilla,2022/2023
"Pedro Ortiz 23,  DMC",184,0,0(1),1,-,-,-,-,-,100,-,-,6,Sevilla,2022/2023
"Iván Romero 22,  Forward",172,0,0(1),10,-,-,1,-,-,33.3,1,-,5.92,Sevilla,2022/2023
"Carlos Álvarez 20,  Midfielder",163,0,0(1),9,-,-,1,-,-,100,-,-,5.89,Sevilla,2022/2023
"Diego Hormigo 20,  Defender",182,0,1,46,-,-,1,-,-,60,1,-,5.84,Sevilla,2022/2023
"Javi Galán 29,  D(L),M(L)",172,70,36(1),3163,-,3,6,-,0.4,80.7,0.9,5,6.98,Celta Vigo,2022/2023
"Iago Aspas 36,  AM(CR),FW",176,67,31(6),2868,12,3,5,-,2.1,79,0.8,2,6.91,Celta Vigo,2022/2023
"Gabri Veiga 21,  AM(C)",184,76,28(8),2308,11,4,6,1,1.7,76.9,0.5,3,6.82,Celta Vigo,2022/2023
"Unai Núñez 27,  D(C)",186,80,35(1),3151,-,-,8,-,0.4,86.4,2,1,6.74,Celta Vigo,2022/2023
"Joseph Aidoo 28,  D(C)",184,80,35,3121,3,-,4,1,0.4,86.6,1.8,2,6.65,Celta Vigo,2022/2023
"Hugo Mallo 32,  D(CR),M(R)",173,69,26,2171,-,1,5,1,0.7,79.3,2,1,6.64,Celta Vigo,2022/2023
"Carles Pérez 26,  AM(CR),FW",173,75,23(12),2150,3,5,4,-,1.5,86.1,0.2,2,6.6,Celta Vigo,2022/2023
"Franco Cervi 29,  D(L),M(CL)",165,67,21(15),1898,-,4,2,1,0.6,77.6,0.3,-,6.57,Celta Vigo,2022/2023
"Agustín Marchesín 36,  GK",188,82,19,1710,-,-,3,-,-,67.4,0.2,-,6.52,Celta Vigo,2022/2023
"Fran Beltrán 25,  DMC",170,66,33(3),2864,-,2,4,-,0.7,90.1,0.5,-,6.49,Celta Vigo,2022/2023
"Óscar Rodríguez 25,  AM(CLR)",174,67,19(14),1772,2,-,6,-,1.3,84.3,0.3,-,6.48,Celta Vigo,2022/2023
"Jørgen Strand Larsen 24,  FW",193,79,20(12),1713,4,4,4,-,1.3,69.4,1.3,1,6.48,Celta Vigo,2022/2023
"Óscar Mingueza 24,  D(CR),M(R)",184,75,13(8),1285,-,-,2,-,0.2,83.3,0.4,-,6.46,Celta Vigo,2022/2023
"Haris Seferovic 32,  AM(LR),FW",186,85,10(8),889,3,1,3,-,0.7,67.7,1.1,-,6.44,Celta Vigo,2022/2023
"Miguel Rodríguez 20,  Forward",179,73,3(4),252,1,1,-,-,0.4,73.1,0.1,-,6.43,Celta Vigo,2022/2023
"Iván Villar 26,  GK",183,76,19,1710,-,-,-,-,-,64.1,0.1,-,6.42,Celta Vigo,2022/2023
"Renato Tapia 28,  D(C),DMC",185,78,16(12),1450,-,-,6,1,0.5,86,0.9,-,6.38,Celta Vigo,2022/2023
"Fernando Medrano 23,  Defender",0,0,0(1),12,-,-,-,-,-,100,-,-,6.36,Celta Vigo,2022/2023
"Hugo Sotelo 20,  Midfielder",180,0,0(1),17,-,-,-,-,1,87,-,-,6.35,Celta Vigo,2022/2023
"Luca de la Torre 25,  M(CLR)",178,63,16(12),1489,-,2,6,-,0.6,86.6,0.2,-,6.32,Celta Vigo,2022/2023
"Carlos Domínguez 23,  D(C)",187,81,1(2),107,-,-,-,-,0.3,82.4,0.3,-,6.32,Celta Vigo,2022/2023
"Gonçalo Paciência 29,  FW",184,81,5(20),650,2,-,2,1,1.2,59.4,1.2,1,6.23,Celta Vigo,2022/2023
"Augusto Solari 32,  AM(CR)",180,80,4(9),260,-,1,1,-,0.2,78.2,0.3,-,6.2,Celta Vigo,2022/2023
"Kevin Vázquez 31,  D(R),M(R)",173,72,6(4),441,-,-,2,-,-,74.3,0.2,-,6.2,Celta Vigo,2022/2023
"Williot Swedberg 20,  Midfielder",185,78,0(4),52,-,-,1,-,-,82.4,-,-,6.1,Celta Vigo,2022/2023
"Pablo Durán 22,  Forward",176,0,0(4),32,-,-,-,-,-,70,0.3,-,6.09,Celta Vigo,2022/2023
"Gonzalo Escalante 30,  DMC",182,76,13(1),1126,4,1,4,-,1,75.8,1.9,2,7.1,Cadiz,2022/2023
"David Gil 30,  GK",186,81,4,360,-,-,-,-,-,44.7,-,-,7.04,Cadiz,2022/2023
"Conan Ledesma 31,  GK",187,70,34,3060,-,-,2,-,-,46.8,0.3,5,7.03,Cadiz,2022/2023
"Iza Carcelén 30,  D(R)",170,69,25(2),2204,-,1,4,3,0.3,80.9,0.8,-,6.79,Cadiz,2022/2023
"Alfonso Espino 32,  D(L)",172,71,35(1),3123,-,4,7,-,0.6,67.2,0.9,2,6.72,Cadiz,2022/2023
"Carlos García 23,  Defender",188,75,0(1),24,-,1,-,-,-,83.3,1,-,6.71,Cadiz,2022/2023
"Rubén Sobrino 31,  AM(CLR),FW",185,73,28(5),2471,3,2,11,-,1,73.2,1.8,1,6.68,Cadiz,2022/2023
"Chris Ramos 27,  FW",193,80,7(8),707,1,-,2,-,2.1,55.4,4.3,-,6.64,Cadiz,2022/2023
"Théo Bongonda 28,  AM(CLR)",177,73,24(7),1951,4,3,2,-,1.4,76.1,0.5,1,6.59,Cadiz,2022/2023
"Sergi Guardiola 32,  FW",184,78,14(3),1176,3,-,2,-,1.6,72.4,0.6,1,6.59,Cadiz,2022/2023
"Jorge Meré 26,  D(C)",182,77,6(4),600,-,-,-,-,0.4,83.3,1.6,-,6.52,Cadiz,2022/2023
"Brian Ocampo 24,  AM(L)",173,70,15(3),1129,1,1,2,-,0.7,78.2,0.4,1,6.51,Cadiz,2022/2023
"Rubén Alcaraz 32,  DMC",183,81,22(9),2047,3,-,9,1,1.1,81.3,1,1,6.5,Cadiz,2022/2023
"Luis Hernández 34,  D(CR)",183,75,35,3150,-,-,6,1,0.2,79.5,1.1,-,6.46,Cadiz,2022/2023
"Fali 30,  D(C),DMC",186,84,22(3),1722,-,-,6,-,0.4,77.1,1.1,-,6.44,Cadiz,2022/2023
"Joseba Zaldúa 31,  D(R)",176,70,7(3),640,-,1,4,-,0.1,70.1,1.9,-,6.38,Cadiz,2022/2023
"Victor Chust 24,  D(C)",182,77,10(4),965,1,-,3,-,0.1,83.4,1.1,-,6.36,Cadiz,2022/2023
"Álvaro Negredo 38,  FW",186,71,9(12),756,1,2,-,-,1,61.4,1.5,1,6.35,Cadiz,2022/2023
"Álex Fernández 31,  M(CL),FW",182,72,17(11),1575,3,-,-,-,0.6,86.6,0.4,1,6.35,Cadiz,2022/2023
"Alberto Perea 33,  AM(LR)",177,74,1,46,-,-,-,-,-,90.9,-,-,6.34,Cadiz,2022/2023
"Anthony Lozano 30,  AM(L),FW",185,74,14(14),1441,1,1,6,-,1.1,68.7,2.1,-,6.32,Cadiz,2022/2023
"Momo Mbaye 25,  D(C)",192,0,7(7),754,-,-,2,-,0.1,75.3,1.9,-,6.32,Cadiz,2022/2023
"José Antonio de la Rosa 19,  Forward",0,0,0(2),45,-,1,-,-,-,88.9,-,-,6.32,Cadiz,2022/2023
"Fede San Emeterio 27,  DMC",174,68,24(9),1856,-,1,14,-,0.2,79.8,0.7,-,6.31,Cadiz,2022/2023
"Juan Cala 34,  D(C)",185,78,1(2),137,-,-,-,-,0.3,78.9,1,-,6.3,Cadiz,2022/2023
"Lucas Pérez 35,  AM(CR),FW",180,82,5(9),623,3,-,2,-,1.2,83.3,0.1,-,6.29,Cadiz,2022/2023
"Raúl Parra 24,  D(CR)",187,82,4(2),312,-,-,1,-,-,62.5,0.5,-,6.26,Cadiz,2022/2023
"Roger Martí 33,  FW",179,74,8(6),640,1,-,1,-,1.1,73,0.7,-,6.23,Cadiz,2022/2023
"Iván Alejo 29,  AM(R)",184,73,13(18),1304,-,1,11,1,0.7,66.9,0.8,-,6.22,Cadiz,2022/2023
"José Mari Martín 36,  DMC",180,69,4(16),387,-,-,4,-,0.3,83.6,0.3,-,6.2,Cadiz,2022/2023
"Antonio Blanco 23,  DMC",176,70,2(1),159,-,-,-,-,-,93.4,1,-,6.18,Cadiz,2022/2023
"Francisco Mwepu 24,  Forward",178,70,0(1),20,-,-,-,-,-,100,-,-,6.09,Cadiz,2022/2023
"Mamady Diarra 23,  Forward",180,0,1(1),66,-,-,-,-,1.5,88.9,-,-,6.06,Cadiz,2022/2023
"Santiago Arzamendia 25,  D(L),M(L)",172,72,5(7),479,-,-,-,-,0.3,68.3,0.5,-,6.05,Cadiz,2022/2023
"Youba Diarra 25,  Midfielder",178,81,1(4),95,-,-,2,-,-,81.6,-,-,6.01,Cadiz,2022/2023
"Awer Mabil 28,  AM(LR),FW",178,73,1(4),163,-,-,-,-,0.6,72.7,0.2,-,5.99,Cadiz,2022/2023
"Tomás Alarcón 25,  DMC",174,68,2(2),222,-,-,-,1,0.5,84.3,0.8,-,5.82,Cadiz,2022/2023
"Álvaro Giménez 32,  FW",183,83,0(1),16,-,-,-,-,-,100,-,-,5.82,Cadiz,2022/2023
"Enes Ünal 26,  FW",187,78,35,2986,14,3,6,-,2.5,60.9,4.6,5,7.07,Getafe,2022/2023
"David Soria 30,  GK",192,85,38,3420,-,-,3,-,-,49.7,0.1,6,6.84,Getafe,2022/2023
"Omar Alderete 27,  D(C)",188,77,23(2),2051,1,1,9,-,0.7,59.1,2.5,2,6.74,Getafe,2022/2023
"Luis Milla 29,  DMC",175,67,22(5),1862,-,3,4,1,0.3,82.1,0.6,-,6.63,Getafe,2022/2023
"Nemanja Maksimovic 29,  M(C)",189,69,26(3),2069,-,-,3,-,0.6,78.7,1.6,-,6.55,Getafe,2022/2023
"Damián Suárez 35,  D(R),M(R)",172,61,26(2),1961,1,1,7,-,0.2,67,0.5,-,6.54,Getafe,2022/2023
"Djené Dakonam 32,  D(CR),DMC",187,72,33,2847,-,1,10,1,0.3,77.5,1.6,-,6.53,Getafe,2022/2023
"Juan Iglesias 25,  D(LR),M(R)",185,79,21(11),2144,1,-,8,-,0.7,61.4,0.5,-,6.51,Getafe,2022/2023
"Domingos Duarte 29,  D(C)",192,80,30(1),2658,-,2,9,1,0.5,77.1,1.5,1,6.5,Getafe,2022/2023
"Borja Mayoral 26,  AM(R),FW",182,74,33(2),2775,8,2,4,-,1.5,78.1,1,2,6.5,Getafe,2022/2023
"Gastón Álvarez 23,  D(CL)",184,72,16(6),1504,2,-,8,1,0.2,62.6,1.4,-,6.5,Getafe,2022/2023
"Mauro Arambarri 28,  DMC",175,74,13,1000,-,1,3,1,0.6,82.3,1.2,-,6.48,Getafe,2022/2023
"Stefan Mitrovic 33,  D(C)",189,84,18(4),1678,-,-,4,-,-,79,1.7,-,6.48,Getafe,2022/2023
"Munir El Haddadi 28,  AM(CLR),FW",175,69,10(18),1149,3,1,4,-,1.1,69.4,1,-,6.43,Getafe,2022/2023
"Juanmi Latasa 23,  FW",192,86,2(16),437,1,-,2,-,0.8,50,3.8,-,6.4,Getafe,2022/2023
"Portu 31,  M(CLR),FW",167,66,17(17),1762,-,3,5,1,0.4,71.7,0.6,-,6.32,Getafe,2022/2023
"Gonzalo Villar 26,  DMC",181,73,3(13),449,-,-,5,-,0.2,79.8,0.4,-,6.28,Getafe,2022/2023
"Carles Aleñá 26,  AM(CLR)",180,73,26(9),2127,2,2,10,1,0.9,78.6,0.4,1,6.25,Getafe,2022/2023
"Jaime Mata 35,  AM(L),FW",185,79,6(13),436,1,1,5,-,0.7,57.7,0.5,1,6.24,Getafe,2022/2023
"Ángel Algobia 24,  M(C)",180,78,11(15),1130,-,-,3,-,0.3,81.7,0.3,-,6.21,Getafe,2022/2023
"Jaime Seoane 27,  M(C)",175,73,2(14),320,-,-,1,-,0.1,79.8,0.1,-,6.11,Getafe,2022/2023
"Moi Parra 21,  Midfielder",0,0,0(1),9,-,-,-,-,-,100,-,-,6.1,Getafe,2022/2023
"Fabrizio Angileri 30,  D(L),M(L)",179,73,7(8),584,-,-,2,1,0.2,56.9,1.1,-,6.07,Getafe,2022/2023
"Jordan Amavi 30,  D(L),M(L)",176,70,2(4),200,-,-,1,1,-,50,1.3,-,6.03,Getafe,2022/2023
"Álex Revuelta 23,  Defender",0,0,0(1),1,-,-,-,-,-,-,-,-,6,Getafe,2022/2023
"José Gayà 28,  D(L),M(L)",172,66,31,2716,1,3,4,-,0.7,81,0.8,3,6.98,Valencia,2022/2023
"André Almeida 23,  M(C),FW",176,62,29(5),2552,2,4,3,-,0.7,84.9,0.4,1,6.84,Valencia,2022/2023
"Samuel Lino 24,  D(L),M(LR),FW",170,69,33(5),2897,6,1,4,-,2.5,80.4,0.4,2,6.81,Valencia,2022/2023
"Javi Guerra 20,  DMC",187,77,6(4),603,1,-,-,-,1.5,81.6,0.6,-,6.77,Valencia,2022/2023
"Diego López 21,  AM(LR),FW",172,62,5(5),448,3,1,-,-,1.2,69.6,0.7,-,6.74,Valencia,2022/2023
"Eray Cömert 26,  D(C)",183,80,19(4),1675,1,-,5,1,0.4,86.5,1.9,-,6.7,Valencia,2022/2023
"Thierry Correia 25,  D(R),M(R)",176,69,24(3),2015,-,-,6,-,0.2,79.4,0.9,-,6.68,Valencia,2022/2023
"Justin Kluivert 24,  AM(CLR),FW",171,67,15(11),1452,6,-,4,-,1.7,78.7,0.3,2,6.66,Valencia,2022/2023
"Mouctar Diakhaby 27,  D(C),DMC",189,78,28(1),2449,3,-,5,1,0.7,82.1,1.7,1,6.65,Valencia,2022/2023
"Carlos Soler 27,  M(CLR)",180,76,3,243,1,-,-,-,1.7,84.1,0.3,1,6.62,Valencia,2022/2023
"Cenk Özkacar 23,  D(CL)",190,87,14(3),1364,-,-,1,-,0.6,84.3,2.9,-,6.62,Valencia,2022/2023
"Nico González 22,  DMC",188,85,18(8),1410,1,1,1,-,0.5,87.4,1,-,6.59,Valencia,2022/2023
"Samu Castillejo 29,  AM(CLR),FW",182,67,17(8),1371,4,-,7,-,1.5,84.7,0.3,-,6.57,Valencia,2022/2023
"Giorgi Mamardashvili 23,  GK",199,86,38,3420,-,-,3,-,-,59.9,0.2,2,6.54,Valencia,2022/2023
"Hugo Guillamón 24,  D(C),DMC",178,62,19(6),1634,1,4,5,-,0.2,84.4,0.8,-,6.46,Valencia,2022/2023
"Gabriel Paulista 33,  D(CR)",185,72,18(3),1508,1,-,2,2,0.7,84.1,2,-,6.43,Valencia,2022/2023
"Edinson Cavani 37,  AM(LR),FW",184,71,20(5),1463,5,2,6,-,1.4,75.6,0.8,-,6.42,Valencia,2022/2023
"Yunus Musah 21,  M(CR)",178,75,26(7),2121,-,2,10,1,0.7,81.8,0.8,-,6.42,Valencia,2022/2023
"Dimitri Foulquier 31,  D(CLR),M(R)",183,72,17(13),1729,-,2,4,-,0.1,73.2,0.6,1,6.39,Valencia,2022/2023
"Toni Lato 26,  D(L),M(L)",171,64,9(15),909,1,-,1,-,0.4,83,0.2,1,6.33,Valencia,2022/2023
"Ilaix Moriba 21,  DMC",185,73,10(14),1006,-,2,4,2,0.9,80.9,1,1,6.32,Valencia,2022/2023
"Jesús Vázquez 21,  D(L)",182,76,3(7),306,-,-,1,-,0.6,85.8,0.2,-,6.29,Valencia,2022/2023
"Cristhian Mosquera 19,  D(C)",188,78,1(2),143,-,-,-,-,0.7,84.8,1,-,6.22,Valencia,2022/2023
"Marcos André 27,  FW",184,78,3(14),437,1,-,2,1,1,68.3,0.6,-,6.21,Valencia,2022/2023
"Alberto Marí 22,  Forward",183,78,0(5),81,1,-,1,-,0.4,40,0.4,-,6.2,Valencia,2022/2023
"Hugo Duro 24,  AM(L),FW",177,70,12(18),1375,1,1,5,-,1.1,73.9,1.1,-,6.19,Valencia,2022/2023
"Maxi Gómez 27,  FW",186,91,0(3),106,-,-,-,-,1,64.3,0.7,-,6.02,Valencia,2022/2023
"Fran Pérez 21,  AM(R)",175,68,0(7),135,-,-,2,-,0.1,86.2,-,-,6.01,Valencia,2022/2023
"Lucas Robertone 27,  M(C)",175,70,34(3),2860,2,7,7,-,1,82.4,0.6,2,6.91,Almeria,2022/2023
"Umar Sadiq 27,  FW",192,75,3,242,2,-,1,-,2.3,61.8,1.3,-,6.85,Almeria,2022/2023
"Adri Embarba 31,  AM(CLR),FW",173,66,18(11),1477,4,3,3,1,1.7,74.8,0.3,3,6.8,Almeria,2022/2023
"El Bilal Touré 22,  FW",185,77,15(6),1275,7,2,-,-,1.4,71.8,2.1,2,6.7,Almeria,2022/2023
"Luis Suárez 26,  AM(L),FW",185,74,18(3),1498,4,4,4,1,2,70,1.7,1,6.69,Almeria,2022/2023
"Fernando Martínez 33,  GK",185,85,37,3286,-,-,3,-,-,65.1,0.1,1,6.66,Almeria,2022/2023
"Léo Baptistão 31,  AM(CLR),FW",185,72,24(4),1746,5,2,7,-,1.6,67.9,1,3,6.61,Almeria,2022/2023
"Álex Centelles 24,  D(L)",185,73,12(4),1124,1,2,-,1,0.3,75.9,0.4,-,6.59,Almeria,2022/2023
"Gonzalo Melero 30,  M(C),FW",183,77,24(3),1877,4,3,5,-,0.9,86.8,0.6,-,6.58,Almeria,2022/2023
"Samú Costa 23,  DMC",183,75,22(10),1988,1,2,5,-,0.6,79.9,1.5,2,6.55,Almeria,2022/2023
"Lázaro 22,  AM(LR),FW",180,67,7(12),711,6,-,1,-,1.3,80.3,0.3,1,6.55,Almeria,2022/2023
"Fernando Pacheco 31,  GK",186,81,1,90,-,-,-,-,-,59.1,-,-,6.54,Almeria,2022/2023
"Diego Mariño 33,  GK",187,75,0(1),45,-,-,-,-,-,85.7,-,-,6.53,Almeria,2022/2023
"Srdjan Babic 27,  D(C)",195,89,33(1),2999,3,-,5,-,0.3,85.8,2.1,-,6.53,Almeria,2022/2023
"Rodrigo Ely 30,  D(C)",188,83,36,3158,-,1,8,1,0.5,81.5,2.2,-,6.52,Almeria,2022/2023
"Álex Pozo 25,  D(R),M(R)",174,70,20(10),1878,-,3,2,-,0.3,73,0.4,-,6.48,Almeria,2022/2023
"Sergio Akieme 26,  D(L),M(L)",175,70,27(2),2300,1,-,5,-,0.8,80.6,0.5,1,6.42,Almeria,2022/2023
"César de la Hoz 31,  DMC",179,74,18(7),1672,1,-,6,-,0.3,79,1,1,6.4,Almeria,2022/2023
"Chumi 25,  D(CR)",186,78,15(6),1486,1,-,5,-,0.1,82.4,0.5,-,6.34,Almeria,2022/2023
"Largie Ramazani 23,  AM(L),FW",167,55,13(20),1395,3,1,6,-,1.2,71,0.2,-,6.32,Almeria,2022/2023
"Dyego Sousa 34,  FW",190,87,3(17),516,-,1,1,-,0.7,68.2,1.4,-,6.28,Almeria,2022/2023
"Francisco Portillo 33,  M(CLR)",169,60,4(23),706,2,1,1,-,0.2,81,0.2,-,6.27,Almeria,2022/2023
"Arnau Puigmal 23,  AM(R)",173,69,7(15),761,1,-,4,-,0.8,72.7,0.1,-,6.24,Almeria,2022/2023
"Íñigo Eguaras 32,  DMC",181,77,10(15),961,1,1,6,-,0.3,85,0.1,-,6.22,Almeria,2022/2023
"Kaiky 20,  D(C)",181,76,7(6),582,-,-,5,-,0.1,81.5,0.5,-,6.22,Almeria,2022/2023
"José Carlos Lazo 28,  Midfielder",180,69,0(1),19,-,-,-,-,2,75,-,-,6.19,Almeria,2022/2023
"Curro Sánchez 28,  Midfielder",173,71,0(2),41,-,-,1,-,0.5,76.9,-,-,6.11,Almeria,2022/2023
"Houboulang Mendes 25,  D(CR)",184,77,11(3),890,-,1,2,-,0.1,72,0.1,-,6.06,Almeria,2022/2023
"Marezi 20,  Forward",196,85,0(2),14,-,-,1,-,0.5,44.4,2.5,-,5.99,Almeria,2022/2023
"Jordi Masip 35,  GK",180,76,28,2508,-,-,4,-,-,66.4,0.3,1,6.83,Real Valladolid,2022/2023
"Anuar Tuhami 29,  AM(C)",173,69,3,212,1,-,1,-,1,76.3,0.7,1,6.8,Real Valladolid,2022/2023
"Selim Amallah 27,  AM(CL),FW",186,82,3(4),270,2,1,2,1,0.7,77.2,1,1,6.79,Real Valladolid,2022/2023
"Gonzalo Plata 23,  AM(R),FW",178,65,26(8),2310,1,5,1,-,1.1,78.1,0.5,2,6.75,Real Valladolid,2022/2023
"Cyle Larin 28,  AM(LR),FW",188,90,16(3),1471,8,3,4,-,2.7,70.1,2.3,-,6.71,Real Valladolid,2022/2023
"Sergio Escudero 34,  D(L),M(L)",176,65,17(6),1442,1,-,3,-,1.2,72.3,1,1,6.69,Real Valladolid,2022/2023
"Álvaro Aceves 20,  Goalkeeper",0,0,0(1),12,-,-,-,-,-,80,1,-,6.61,Real Valladolid,2022/2023
"Jawad El Yamiq 32,  D(C)",193,83,19(6),1612,1,-,2,1,0.7,81.6,1.7,-,6.59,Real Valladolid,2022/2023
"Kike Pérez 27,  M(C)",184,80,28(8),2319,1,2,9,-,1.3,79.3,0.9,-,6.57,Real Valladolid,2022/2023
"Iván Sánchez 31,  AM(CR)",171,64,13(12),1122,1,1,-,-,0.7,84.4,0.1,1,6.57,Real Valladolid,2022/2023
"Iván Fresneda 19,  D(R)",0,0,18(4),1776,-,-,3,-,0.2,80.7,0.4,-,6.56,Real Valladolid,2022/2023
"Javi Sánchez 27,  D(C)",186,71,28(4),2395,1,-,11,-,0.3,82.5,1.4,-,6.54,Real Valladolid,2022/2023
"Luis Pérez 29,  D(R)",173,68,15(3),1216,-,1,2,-,0.2,80,0.4,1,6.54,Real Valladolid,2022/2023
"Lucas Rosa 23,  Defender",176,68,11(6),930,-,1,3,-,0.4,74.7,0.9,-,6.53,Real Valladolid,2022/2023
"Monchu 24,  DMC",173,68,24(10),2030,3,2,10,-,1.1,83.2,0.5,1,6.52,Real Valladolid,2022/2023
"Joaquín Fernández 27,  D(C),DMC",190,72,24(3),2158,1,-,4,-,0.4,83.2,2,1,6.52,Real Valladolid,2022/2023
"Óscar Plano 33,  AM(CLR),FW",180,72,22(11),2048,1,1,3,-,0.9,75.4,1,-,6.51,Real Valladolid,2022/2023
"Darwin Machís 31,  AM(LR)",170,68,7(4),599,-,1,1,-,1.7,73.4,0.2,1,6.5,Real Valladolid,2022/2023
"Lucas Olaza 29,  D(L),M(L)",173,68,16(7),1497,-,1,3,-,0.2,80.4,1.2,-,6.46,Real Valladolid,2022/2023
"Álvaro Aguado 27,  M(C)",174,66,18(16),1887,1,2,3,-,0.6,85.2,0.4,-,6.46,Real Valladolid,2022/2023
"Roque Mesa 34,  DMC",172,74,21(9),1629,2,1,9,1,0.9,83.4,0.4,1,6.4,Real Valladolid,2022/2023
"Manuel Pozo 22,  Forward",168,0,0(1),18,-,-,-,-,1,83.3,-,-,6.38,Real Valladolid,2022/2023
"Sergio Asenjo 34,  GK",189,87,10,900,-,-,-,-,-,61.4,-,1,6.36,Real Valladolid,2022/2023
"Zouhair Feddal 34,  D(C)",192,84,4(4),374,-,-,1,-,0.1,79.9,0.9,-,6.31,Real Valladolid,2022/2023
"Sergio León 35,  FW",178,73,14(15),1332,6,1,-,1,1,70.3,0.6,1,6.28,Real Valladolid,2022/2023
"Martin Hongla 26,  D(C),DMC",182,77,15(1),1313,-,-,5,2,0.1,83.4,0.4,-,6.26,Real Valladolid,2022/2023
"Sergi Guardiola 32,  FW",184,78,8(6),508,-,-,1,-,0.8,64.6,0.6,-,6.16,Real Valladolid,2022/2023
"Toni Villa 29,  AM(CLR)",172,63,1(1),91,-,-,-,-,-,74.1,-,-,6.15,Real Valladolid,2022/2023
"Mickaël Malsa 28,  DMC",178,69,0(5),65,-,-,-,-,-,65,0.2,-,6.1,Real Valladolid,2022/2023
"David Torres 21,  Defender",0,0,2(5),381,-,-,1,-,0.1,79.9,1.3,-,6.09,Real Valladolid,2022/2023
"Kenedy 28,  D(L),M(LR)",182,77,2(10),267,-,1,3,-,0.5,67.9,0.2,-,6.08,Real Valladolid,2022/2023
"Shon Weissman 28,  FW",174,72,6(9),742,1,-,-,-,1.2,77.5,0.3,-,6.07,Real Valladolid,2022/2023
"Roberto Arroyo 20,  Forward",0,0,0(1),14,-,-,-,-,-,-,-,-,6.06,Real Valladolid,2022/2023
"Juanjo Narváez 29,  Forward",181,79,1(4),147,-,-,-,-,0.6,73.5,0.6,-,6.03,Real Valladolid,2022/2023
"Tunde Akinsola 21,  Forward",0,0,0(1),10,-,-,-,-,-,100,-,-,5.98,Real Valladolid,2022/2023
"Sekou Gassama 28,  Forward",189,88,0(1),34,-,-,-,-,2,77.8,2,-,5.85,Real Valladolid,2022/2023
"Joselu 33,  FW",192,80,33(1),2989,16,2,3,-,2.7,61,5.1,5,7.15,Espanyol,2022/2023
"Sergi Darder 30,  M(CLR)",180,71,38,3325,6,3,4,-,1,78.5,0.3,5,7.08,Espanyol,2022/2023
"Fernando Pacheco 31,  GK",186,81,16,1440,-,-,-,-,-,68.9,0.3,1,6.73,Espanyol,2022/2023
"Adri Embarba 31,  AM(CLR),FW",173,66,0(1),34,-,-,-,-,2,75,-,-,6.72,Espanyol,2022/2023
"Vinicius Souza 24,  DMC",187,80,27(7),2434,1,1,8,1,0.3,80.1,2.1,-,6.68,Espanyol,2022/2023
"Brian Oliván 29,  D(CL)",177,73,29(1),2413,1,7,7,-,0.5,70.1,0.6,-,6.6,Espanyol,2022/2023
"César Montes 27,  D(C)",191,77,18(2),1589,3,-,7,-,0.7,78.2,3.4,1,6.6,Espanyol,2022/2023
"José Gragera 23,  Midfielder",186,78,5(4),461,1,-,2,-,0.4,85.5,1.3,-,6.6,Espanyol,2022/2023
"Martin Braithwaite 32,  AM(CLR),FW",180,77,29(2),2468,10,2,5,1,1.9,68.9,1.5,2,6.56,Espanyol,2022/2023
"Javi Puado 25,  AM(CLR),FW",177,69,25(12),2350,7,2,4,-,1.5,79.9,0.6,-,6.51,Espanyol,2022/2023
"Leandro Cabrera 32,  D(CL)",190,80,31(1),2673,-,1,8,2,0.7,73.3,1.9,-,6.48,Espanyol,2022/2023
"Edu Expósito 27,  M(C)",178,68,13(15),1165,2,2,3,1,0.7,79.1,0.5,1,6.47,Espanyol,2022/2023
"Rubén Sánchez 23,  M(R)",185,0,9(9),894,-,2,1,-,0.5,77,0.8,-,6.47,Espanyol,2022/2023
"Fernando Calero 28,  D(C),DMC",183,71,20(7),1618,-,1,6,-,0.3,81.8,1.3,-,6.45,Espanyol,2022/2023
