Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Gabi 40,  M(C)",180,74,35(1),3119,3,8,11,-,1,79.4,1.1,2,7.58,Atletico Madrid,2013/2014
"Tiago 42,  M(C)",184,75,21(1),1866,2,1,8,-,1.1,81.4,2.5,2,7.49,Atletico Madrid,2013/2014
"Diego Godín 38,  D(C)",187,78,34,3060,4,1,11,-,0.5,78.7,2.9,4,7.44,Atletico Madrid,2013/2014
"Diego Costa 35,  FW",188,83,34(1),2965,27,3,7,-,3.1,75.5,1.4,6,7.4,Atletico Madrid,2013/2014
"Koke 32,  M(CLR)",176,77,33(3),2818,6,13,5,-,1.1,80.6,0.9,5,7.39,Atletico Madrid,2013/2014
"Javier Manquillo 29,  D(LR),M(R)",178,76,3,270,-,-,1,-,0.3,72.6,3.7,-,7.3,Atletico Madrid,2013/2014
"Filipe Luís 38,  D(L)",181,77,32,2879,-,2,6,1,0.4,80.2,0.7,-,7.25,Atletico Madrid,2013/2014
"Miranda 39,  D(C)",186,78,32,2880,2,1,5,-,0.4,79.5,2,1,7.15,Atletico Madrid,2013/2014
"Juanfran 39,  D(R)",181,71,35,3150,-,4,6,1,0.2,79,0.8,-,7.06,Atletico Madrid,2013/2014
"Raúl García 37,  M(CLR),FW",184,83,18(16),1710,9,3,9,-,1.8,51.9,3.6,3,6.97,Atletico Madrid,2013/2014
"Arda Turan 37,  AM(CLR)",177,76,22(8),1932,3,4,8,-,1.1,83,0.7,2,6.96,Atletico Madrid,2013/2014
"Mario Suárez 37,  D(C),M(C)",188,80,16(1),1362,-,-,5,-,0.6,83.2,1.6,-,6.89,Atletico Madrid,2013/2014
"Toby Alderweireld 35,  D(CR)",186,81,10(2),906,1,-,-,-,0.4,76.9,1.6,-,6.87,Atletico Madrid,2013/2014
"David Villa 42,  AM(L),FW",175,69,32(4),2431,13,4,3,-,2.1,68.5,0.6,2,6.85,Atletico Madrid,2013/2014
"José Sosa 38,  M(CLR)",179,72,4(10),433,-,5,-,-,0.4,68.1,0.8,-,6.82,Atletico Madrid,2013/2014
"Emiliano Insúa 35,  D(CL),M(L)",180,79,5(1),451,-,-,-,-,0.5,79.7,0.5,-,6.77,Atletico Madrid,2013/2014
"Diego 39,  M(CLR)",174,78,4(9),510,1,1,2,-,1.6,85.2,0.2,-,6.74,Atletico Madrid,2013/2014
"Thibaut Courtois 31,  GK",200,96,37,3330,-,-,3,-,-,55,0.3,-,6.73,Atletico Madrid,2013/2014
"Óliver Torres 29,  M(CLR)",178,70,2(5),214,1,-,1,-,0.3,79.3,0.3,-,6.7,Atletico Madrid,2013/2014
"José Giménez 29,  D(CR)",185,77,1,90,-,-,-,-,2,75,3,-,6.67,Atletico Madrid,2013/2014
"Adrián López 36,  M(CLR),FW",183,73,4(17),691,1,3,-,-,0.5,68.9,0.9,-,6.41,Atletico Madrid,2013/2014
"Léo Baptistão 31,  AM(CLR),FW",185,72,1(4),114,-,1,-,-,0.6,86.4,0.6,-,6.36,Atletico Madrid,2013/2014
"Cristian Rodríguez 38,  AM(CL)",177,92,2(18),326,1,1,2,-,0.4,80.9,0.5,-,6.36,Atletico Madrid,2013/2014
"Josuha Guilavogui 33,  D(C),M(C)",188,77,0(1),1,-,-,-,-,-,-,-,-,6.08,Atletico Madrid,2013/2014
"Daniel Aranzubia 44,  GK",184,80,1,84,-,-,-,1,-,90.9,-,-,3.89,Atletico Madrid,2013/2014
"Lionel Messi 36,  AM(CR),FW",170,72,29(2),2508,27,11,2,-,5,84.9,0.2,13,8.34,Barcelona,2013/2014
"Alexis Sánchez 35,  M(CLR),FW",169,62,27(7),2386,19,10,2,-,1.9,79.8,0.7,3,7.54,Barcelona,2013/2014
"Neymar 32,  AM(CLR),FW",175,68,19(7),1742,9,8,6,-,2.6,84.5,0.5,4,7.51,Barcelona,2013/2014
"Gerard Piqué 37,  D(C)",194,85,26,2311,2,-,5,-,0.8,90.2,3.8,3,7.49,Barcelona,2013/2014
"Carles Puyol 45,  D(C)",178,80,5,429,1,-,-,-,0.2,92.3,2.6,-,7.46,Barcelona,2013/2014
"Dani Alves 40,  D(R),M(CR)",172,70,26(1),2388,2,3,6,-,1.1,87.3,1.2,-,7.44,Barcelona,2013/2014
"Marc Bartra 33,  D(CR),DMC",184,70,17(3),1590,1,1,3,-,0.4,89.9,2.2,-,7.39,Barcelona,2013/2014
"Andrés Iniesta 39,  M(CL)",171,68,27(8),2487,3,7,-,-,1.2,90.7,0.1,1,7.34,Barcelona,2013/2014
"Cesc Fàbregas 36,  M(CL),FW",180,77,28(7),2446,8,12,4,-,1.4,87,0.5,1,7.32,Barcelona,2013/2014
"Adriano 39,  D(CLR),M(L)",172,75,24(2),2119,3,1,8,-,1.3,89.4,1.6,2,7.26,Barcelona,2013/2014
"Sergio Busquets 35,  DMC",189,74,30(2),2656,1,1,11,-,0.3,92.5,1.7,-,7.21,Barcelona,2013/2014
"Javier Mascherano 39,  D(C),M(C)",174,73,27(1),2367,-,-,9,-,0.1,88.9,1.2,-,7.14,Barcelona,2013/2014
"Martín Montoya 32,  D(LR),M(R)",175,73,12(1),1122,-,2,-,-,0.6,87.5,2.5,-,7.14,Barcelona,2013/2014
"Pedro 36,  M(CLR),FW",169,65,28(9),2367,15,8,3,-,1.9,84.5,0.2,2,7.13,Barcelona,2013/2014
"Jordi Alba 34,  D(L),M(L)",170,68,14(1),1202,-,2,5,1,0.3,89.4,1.1,-,7.08,Barcelona,2013/2014
"Xavi 44,  DMC",170,68,26(4),2256,3,2,-,-,1.1,93,0.2,-,7.06,Barcelona,2013/2014
"Víctor Valdés 42,  GK",183,78,26,2278,-,-,2,-,-,61.7,0.3,-,6.94,Barcelona,2013/2014
"Alexandre Song 36,  M(C)",185,74,12(7),1123,-,-,2,-,0.2,91.7,1.3,-,6.85,Barcelona,2013/2014
"Pinto 48,  GK",185,82,13(1),1236,-,-,1,-,-,71.4,0.4,-,6.76,Barcelona,2013/2014
"Adama Traoré 28,  M(CLR),FW",178,86,0(1),7,-,-,-,-,1,75,-,-,6.62,Barcelona,2013/2014
"Cristian Tello 32,  M(LR)",178,65,2(19),380,1,2,-,-,1,83.6,-,-,6.32,Barcelona,2013/2014
"Sergi Roberto 32,  D(R),M(CR)",178,68,1(15),275,-,-,-,-,0.3,89.2,0.4,-,6.19,Barcelona,2013/2014
"Jonathan dos Santos 33,  M(CR)",172,74,0(3),17,-,-,-,-,-,92.9,-,-,6.09,Barcelona,2013/2014
"Jean Marie Dongou 28,  Forward",182,76,0(1),6,-,-,-,-,-,100,-,-,6.07,Barcelona,2013/2014
"Ibrahim Afellay 37,  M(CLR)",180,76,0(1),3,-,-,-,-,-,100,-,-,6.06,Barcelona,2013/2014
"Cristiano Ronaldo 39,  M(L),FW",187,83,30,2545,31,9,4,1,7.2,80.2,1.8,10,8.27,Real Madrid,2013/2014
"Gareth Bale 34,  M(CLR),FW",186,81,24(3),2073,15,12,3,-,3.3,76.3,1.1,5,7.75,Real Madrid,2013/2014
"Sergio Ramos 37,  D(CR)",184,82,32,2759,4,1,10,2,1.3,88.8,4.3,6,7.47,Real Madrid,2013/2014
"Ángel Di María 36,  M(CLR),FW",180,75,27(7),2384,4,17,6,-,1.8,82.1,-,1,7.46,Real Madrid,2013/2014
"Karim Benzema 36,  FW",185,81,34(1),2779,17,9,2,-,2.9,81.9,0.7,1,7.44,Real Madrid,2013/2014
"Pepe 41,  D(C)",188,81,30,2700,4,2,9,-,0.6,85.9,2.9,-,7.42,Real Madrid,2013/2014
"Isco 31,  M(CLR),FW",176,79,23(9),2001,8,6,1,-,1.4,88,0.4,4,7.41,Real Madrid,2013/2014
"Luka Modric 38,  M(C)",172,66,29(5),2651,1,6,6,-,1.1,89.7,0.4,-,7.31,Real Madrid,2013/2014
"Marcelo 35,  D(L),M(L)",173,72,24(4),2176,1,6,3,-,1,85,0.6,-,7.28,Real Madrid,2013/2014
"Dani Carvajal 32,  D(R)",173,73,25(6),2236,2,2,5,-,0.2,86.7,1.2,1,7.21,Real Madrid,2013/2014
"Mesut Özil 35,  M(CLR)",180,76,2,134,-,-,-,-,0.5,83.3,-,-,7.18,Real Madrid,2013/2014
"Xabi Alonso 42,  M(C)",183,80,23(3),2027,-,1,5,-,0.3,88,2,1,7.07,Real Madrid,2013/2014
"Asier Illarramendi 34,  M(C)",179,75,15(14),1397,2,1,3,-,0.3,88.9,0.7,2,6.92,Real Madrid,2013/2014
"Raphaël Varane 30,  D(C)",191,81,12(2),1085,-,1,1,-,0.1,89.1,1.9,-,6.89,Real Madrid,2013/2014
"Álvaro Arbeloa 41,  D(LR)",184,79,14(4),1322,-,-,7,-,0.1,91.6,1,-,6.83,Real Madrid,2013/2014
"Fábio Coentrão 36,  D(L),M(LR)",178,66,8(2),661,-,-,1,-,0.3,82.8,0.6,-,6.81,Real Madrid,2013/2014
"Diego López 42,  GK",196,89,36,3240,-,-,-,-,-,69.1,0.2,-,6.81,Real Madrid,2013/2014
"Nacho 34,  D(CLR)",180,76,8(4),812,-,1,2,-,0.2,91.5,0.8,-,6.8,Real Madrid,2013/2014
"Sami Khedira 36,  M(C)",189,90,12(1),974,1,1,4,-,0.6,86.5,0.7,-,6.75,Real Madrid,2013/2014
"Álvaro Morata 31,  AM(L),FW",190,84,3(20),559,8,-,2,-,1.7,69.2,0.9,-,6.66,Real Madrid,2013/2014
"Jesé 31,  AM(LR),FW",178,72,4(14),592,5,4,-,-,1.2,83.8,0.1,-,6.65,Real Madrid,2013/2014
"Casemiro 32,  DMC",185,84,1(11),273,-,1,-,-,0.3,86.2,0.4,-,6.46,Real Madrid,2013/2014
"Willian José 32,  FW",189,93,0(1),21,-,-,-,-,2,40,2,-,6.34,Real Madrid,2013/2014
"Diego Llorente 30,  D(C),DMC",186,75,0(1),17,-,-,-,-,-,87.5,-,-,6.24,Real Madrid,2013/2014
"Iker Casillas 42,  GK",185,84,2,180,-,-,-,-,-,78.1,-,-,6.2,Real Madrid,2013/2014
"Ander Herrera 34,  M(C)",182,71,31(2),2577,5,5,7,-,2.1,80.6,1,3,7.4,Athletic Bilbao,2013/2014
"Aritz Aduriz 43,  FW",181,77,26(5),2410,15,7,6,2,2.6,61.7,5.6,7,7.32,Athletic Bilbao,2013/2014
"Gurpegi 43,  D(C),M(C)",181,74,27,2386,2,-,8,-,0.3,82.9,2.7,1,7.28,Athletic Bilbao,2013/2014
"Iker Muniain 31,  AM(CLR)",170,65,32(3),2730,7,3,6,-,1.5,82.7,0.3,1,7.23,Athletic Bilbao,2013/2014
"Aymeric Laporte 29,  D(CL)",189,86,33(2),2948,2,-,4,1,0.8,81.9,2.5,1,7.2,Athletic Bilbao,2013/2014
"Markel Susaeta 36,  M(LR)",179,63,34(4),2978,6,12,1,-,1.2,78.8,0.4,2,7.15,Athletic Bilbao,2013/2014
"Ander Iturraspe 35,  M(C)",187,80,31(2),2707,-,2,8,-,0.4,81.5,3.1,2,7.13,Athletic Bilbao,2013/2014
"Mikel Balenziaga 36,  D(L)",177,76,31,2670,-,-,4,-,0.2,72.1,1,2,7.1,Athletic Bilbao,2013/2014
"Mikel San José 34,  D(C),DMC",188,78,19(6),1799,5,1,6,-,0.8,77.9,2.2,3,7.04,Athletic Bilbao,2013/2014
"Ibai Gómez 34,  AM(LR)",177,72,6(12),685,8,2,-,-,2.6,75.3,-,-,6.94,Athletic Bilbao,2013/2014
"Andoni Iraola 41,  D(R),M(CR)",182,75,28(5),2606,1,4,3,-,0.4,78.9,0.8,1,6.91,Athletic Bilbao,2013/2014
"Mikel Rico 39,  M(C)",179,75,31(3),2600,5,1,7,-,0.8,78.7,1,-,6.81,Athletic Bilbao,2013/2014
"Xabier Etxeita 36,  D(C)",186,78,2(1),185,-,-,-,-,-,74,2.7,-,6.77,Athletic Bilbao,2013/2014
"Gorka Iraizoz 43,  GK",191,87,33,2926,-,-,-,-,-,52.5,0.3,-,6.73,Athletic Bilbao,2013/2014
"Kike Sola 38,  FW",184,78,2(3),226,1,-,-,-,1.4,61.5,2.2,-,6.72,Athletic Bilbao,2013/2014
"Saborit 31,  D(L)",187,73,2(3),192,-,-,1,-,0.4,85.2,3.2,-,6.68,Athletic Bilbao,2013/2014
"Óscar De Marcos 34,  D(LR),M(CR)",182,77,19(16),1958,5,2,3,-,0.9,72,0.9,-,6.64,Athletic Bilbao,2013/2014
"Iago Herrerín 36,  GK",187,88,5(1),495,-,-,1,-,-,61.5,0.7,-,6.57,Athletic Bilbao,2013/2014
