Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Karim Benzema 36,  FW",185,81,31(1),2600,27,12,-,-,4,85.2,0.6,10,7.69,Real Madrid,2021/2022
"Vinícius Júnior 23,  AM(L),FW",176,73,30(5),2701,17,10,6,-,2.3,85.9,0.1,8,7.56,Real Madrid,2021/2022
"Miguel Gutiérrez 22,  D(L),M(L)",180,73,3,262,-,1,1,-,-,94,0.7,-,7.44,Real Madrid,2021/2022
"Andriy Lunin 25,  GK",191,80,2,180,-,-,-,-,-,85.1,-,1,7.32,Real Madrid,2021/2022
"Casemiro 32,  DMC",185,84,31(1),2576,1,3,11,-,1.3,86,3.2,3,7.26,Real Madrid,2021/2022
"Luka Modric 38,  M(C)",172,66,25(3),2050,2,8,5,-,1,90.1,0.2,-,7.01,Real Madrid,2021/2022
"Toni Kroos 34,  M(C)",183,76,25(3),2112,1,3,4,-,1.6,94.9,0.3,1,6.98,Real Madrid,2021/2022
"Éder Militão 26,  D(CR)",186,78,34,3033,1,2,5,-,1,89.3,2.4,3,6.97,Real Madrid,2021/2022
"Ferland Mendy 28,  D(L),M(L)",180,73,20(2),1739,2,1,4,-,0.5,92,0.5,-,6.96,Real Madrid,2021/2022
"Jesús Vallejo 27,  D(CR)",184,79,4(1),341,-,-,1,-,-,86.6,2.2,-,6.93,Real Madrid,2021/2022
"Marco Asensio 28,  AM(CLR),FW",182,76,19(12),1729,10,-,2,-,2.1,87.7,-,1,6.89,Real Madrid,2021/2022
"Dani Carvajal 32,  D(R)",173,73,17(7),1553,1,3,1,-,0.4,87.4,0.6,2,6.85,Real Madrid,2021/2022
"Eduardo Camavinga 21,  D(L),DMC",182,68,13(13),1233,2,1,9,-,0.5,90,1.1,1,6.82,Real Madrid,2021/2022
"Thibaut Courtois 31,  GK",200,96,36,3240,-,-,1,-,-,79.2,0.2,-,6.79,Real Madrid,2021/2022
