ID,Player,Nationality,Country
2127,S.Sirigu,ITA,Italy
2128,S.Tejera,ESP,Spain
2129,S.Umtiti,FRA,France
2130,S.Verdi,ITA,Italy
2131,S.Vergini,ARG,Argentina
2132,S.Vrsaljko,CRO,Croatia
2133,S.Weissman,ISR,Israel
2134,S.Zaza,ITA,Italy
2135,Salvi,ESP,Spain
2136,Sammir,CRO,Croatia
2137,Sergio,ESP,Spain
2138,Sidnei,BRA,Brazil
2139,Silvio,PRT,Portugal
2140,Simo,ESP,Spain
2141,Sisi,ESP,Spain
2142,Sito,ESP,Spain
2143,Son,ESP,Spain
2144,Suso,ESP,Spain
2145,T.Aguado,ESP,Spain
2146,T.Alarcon,CHL,Chile
2147,T.Alcantara,ESP,Spain
2148,T.Alderweireld,BEL,Belgium
2149,T.Anibarro,ESP,Spain
2150,T.Bifouma,CGO,Congo
2151,T.Bongonda,COD,Congo Democratic Republic
2152,T.Bonnin,DOM,Dominican Republic
2153,T.Correia,PRT,Portugal
2154,T.Costa,ARG,Argentina
2155,T.Courtois,BEL,Belgium
2156,T.Dangda,THA,Thailand
2157,T.Delaney,DEN,Denmark
2158,T.Dovale,ESP,Spain
2159,T.Dujmovic,CRO,Croatia
2160,T.Galhardo,BRA,Brazil
2161,T.Gekas,GRE,Greece
2162,T.Guarente,ITA,Italy
2163,T.Hemed,ISR,Israel
2164,T.Hernandez,FRA,France
2165,T.Ilori,PRT,Portugal
2166,T.Inui,JPN,Japan
2167,T.Kadewere,ZWE,Zimbabwe
2168,T.Kolodziejczak,FRA,France
2169,T.Kroos,GER,Germany
2170,T.Kubo,JPN,Japan
2171,T.Lato,ESP,Spain
2172,T.Lemar,FRA,France
2173,T.Masilela,RSA,South Africa
2174,T.Mendes,PRT,Portugal
2175,T.Mendes,ESP,Spain
2176,T.Morente,ESP,Spain
2177,T.Moya,ESP,Spain
2178,T.Nianzou,FRA,France
2179,T.Partey,GHA,Ghana
2180,T.Pina,ESP,Spain
2181,T.Pinto,PRT,Portugal
2182,T.Ramirez,ESP,Spain
2183,T.Tavares,PRT,Portugal
2184,T.Vaclik,CZE,Czechia
2185,T.Vermaelen,BEL,Belgium
2186,T.Vilhena,NLD,Netherlands
2187,T.Villa,ESP,Spain
2188,Tachi,ESP,Spain
2189,Tana,ESP,Spain
2190,Tito,ESP,Spain
2191,Toche,ESP,Spain
2192,Tono,ESP,Spain
2193,Tropi,ESP,Spain
2194,Tyronne,ESP,Spain
2195,U.Agbo,NGA,Nigeria
2196,U.Albizua,ESP,Spain
2197,U.Arietaleanizbeaskoa,ESP,Spain
2198,U.Bustinza,ESP,Spain
2199,U.Dufur,ESP,Spain
2200,U.Garcia,ESP,Spain
2201,U.Gonzalez,ESP,Spain
2202,U.Lopez,ESP,Spain
2203,U.Nunez,ESP,Spain
2204,U.Racic,SRB,Serbia
2205,U.Ropero,ESP,Spain
2206,U.Sadiq,NGA,Nigeria
2207,U.Simon,ESP,Spain
2208,U.Vencedor Paris,ESP,Spain
2209,Ustaritz,ESP,Spain
2210,V.Alvarez,ESP,Spain
2211,V.Angban,CIV,Ivory Coast
2212,V.Antunes,PRT,Portugal
2213,V.Araujo,BRA,Brazil
2214,V.Camarasa,ESP,Spain
2215,V.Campuzano,ESP,Spain
2216,V.Casadesus,ESP,Spain
2217,V.Castellanos,ARG,Argentina
2218,V.Chust,ESP,Spain
2219,V.Demidov,NOR,Norway
2220,V.Diaz,ESP,Spain
2221,V.Esquerdo,ESP,Spain
2222,V.Fernandez,ESP,Spain
2223,V.Garcia,ESP,Spain
2224,V.Gomez,ESP,Spain
2225,V.Gomez,ESP,Spain
2226,V.Guaita,ESP,Spain
2227,V.Haroyan,ARM,Armenia
2228,V.Iborra,ESP,Spain
2229,V.Junior,BRA,Brazil
2230,V.Kravets,UKR,Ukraine
2231,V.Laguardia,ESP,Spain
2232,V.Lopez,ESP,Spain
2233,V.Mollejo,ESP,Spain
2234,V.Muriqi,KVX,Kosovo
2235,V.Perez,ESP,Spain
2236,V.Rama,ALB,Albania
2237,V.Rennella,ITA,Italy
2238,V.Rodriguez,ESP,Spain
2239,V.Ruiz,ESP,Spain
2240,V.Sanchez,ESP,Spain
2241,V.Scotta,ESP,Spain
2242,V.Souza,BRA,Brazil
2243,V.Tsyhankov,UKR,Ukraine
2244,V.Valdes,ESP,Spain
2245,V.Weiss,SVK,Slovakia
2246,Valdo,CPV,Cabo Verde
2247,Verza,ESP,Spain
2248,Vitolo,ESP,Spain
2249,W.Ben Yedder,FRA,France
2250,W.Caballero,ARG,Argentina
2251,W.Carvalho,PRT,Portugal
2252,W.Hoedt,NLD,Netherlands
2253,W.Jose,BRA,Brazil
2254,W.Kaptoum,CMR,Cameroon
2255,W.Montoya,ARG,Argentina
2256,W.Oliveira,BRA,Brazil
2257,W.Pandiani,URY,Uruguay
2258,W.Rubio,ESP,Spain
2259,W.Silva,BRA,Brazil
2260,W.Swedberg,SWE,Sweden
2261,W.Zahibo,CTA,Central African Republic
2262,Wakaso,GHA,Ghana
2263,Wanderson,BRA,Brazil
2264,Welliton,BRA,Brazil
2265,Wu Lei,CHN,China
2266,X.Alonso,ESP,Spain
2267,X.Annunziata,ESP,Spain
2268,X.Campos,ESP,Spain
2269,X.Castillo,CRO,Croatia
