Player,Age,Position,CM,KG,Start,Sub,Mins,Goals,Assists,G+A,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
M.Caceres,36,Defender,180,77,9,1,670,0,0,0,2,0,0,82,0.7,0,6.09,Levante,2021/2022,URY,Uruguay
M.Calderon,25,Midfielder,183,77,1,5,111,0,0,0,1,0,0.3,75.6,1,0,6.22,Cadiz,2021/2022,ESP,Spain
M.Carcela,0,Forward,175,68,20,2,1753,5,1,6,6,0,1.4,77.8,0.5,1,6.87,Granada,2016/2017,MAR,Morocco
M.Cardona,28,Forward,183,70,9,10,703,1,2,3,1,0,0.6,74.4,0.6,0,6.21,Osasuna,2019/2020,ESP,Spain
M.Cardona,28,Forward,183,70,0,3,51,0,0,0,0,0,0.3,66.7,0.3,0,6.06,Osasuna,2020/2021,ESP,Spain
M.Cardoso,29,Midfielder,176,73,0,3,41,0,1,1,0,0,1.3,80,0,0,6.35,Deportivo La Coruna,2015/2016,PRT,Portugal
M.Ciani,39,Defender,189,88,2,0,136,0,0,0,0,0,0,77.6,2,0,5.7,Espanyol,2015/2016,FRA,France
M.Ciani,39,Defender,189,88,0,1,53,0,0,0,0,0,0,66.7,0,0,5.87,Espanyol,2016/2017,FRA,France
M.Contini,43,Defender,184,76,24,0,2048,0,0,0,10,1,0.1,68.5,1,0,6.8,Real Zaragoza,2010/2011,ITA,Italy
M.Crespi,36,Defender,183,74,3,2,277,0,0,0,3,0,0.4,79.7,1.4,0,6.36,Mallorca,2010/2011,ESP,Spain
M.Crespi,36,Defender,183,74,5,3,505,0,0,0,1,0,0.1,70,1,0,6.72,Mallorca,2011/2012,ESP,Spain
M.Cucurella,25,Defender,172,66,37,0,3250,1,5,6,9,0,0.8,67.9,1.5,1,6.82,Getafe,2019/2020,ESP,Spain
M.Cucurella,25,Defender,172,66,37,0,3250,3,2,5,8,0,0.7,73,1.9,1,6.7,Getafe,2020/2021,ESP,Spain
M.Cucurella,25,Defender,172,66,0,1,22,0,0,0,0,0,1,78.9,0,0,6.29,Getafe,2021/2022,ESP,Spain
M.Cuero,31,Forward,176,76,5,8,480,0,1,1,1,0,0.8,65.3,0.1,0,6.44,Levante,2015/2016,COL,Colombia
M.Cunha,24,Forward,183,76,8,21,1053,6,4,10,3,0,1.3,71,0.7,0,6.53,Atletico Madrid,2021/2022,BRA,Brazil
M.Cunha,24,Forward,183,76,2,9,372,0,2,2,2,0,1.1,78.5,0.3,0,6.42,Atletico Madrid,2022/2023,BRA,Brazil
M.Dabbur,31,Forward,183,78,0,2,24,0,0,0,0,0,1,75,0,0,6.26,Sevilla,2019/2020,ISR,Israel
M.Dabo,37,Defender,176,65,21,3,1956,0,2,2,6,1,0.3,80.9,0.3,0,6.83,Sevilla,2010/2011,FRA,France
M.de la Fuente,24,Forward,180,77,0,2,11,0,0,0,0,0,1,66.7,0.5,0,6.17,Real Valladolid,2018/2019,ESP,Spain
M.de la Fuente,24,Forward,180,77,2,5,231,0,0,0,1,0,0.3,53.1,1.6,0,6.19,Real Valladolid,2019/2020,ESP,Spain
M.de la Fuente,24,Forward,180,77,10,12,828,1,1,2,2,0,1,66.4,0.6,0,6.19,Deportivo Alaves,2021/2022,ESP,Spain
