Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Clément Lenglet 28,  D(C)",186,81,28,2428,2,1,7,2,0.4,92.3,2.3,-,6.9,Barcelona,2019/2020
"Moussa Wagué 25,  D(R)",177,70,1,90,-,-,-,-,-,88.1,1,-,6.88,Barcelona,2019/2020
"Jordi Alba 35,  D(L),M(L)",170,68,25(2),2190,2,5,7,-,0.3,88.6,0.2,-,6.87,Barcelona,2019/2020
"Sergi Roberto 32,  D(R),M(CR)",178,68,27(3),2342,1,2,7,-,0.2,91.8,1,-,6.85,Barcelona,2019/2020
"Frenkie de Jong 26,  D(C),DMC",181,74,24(5),2121,2,2,1,1,0.1,91.8,0.5,2,6.85,Barcelona,2019/2020
"Arthur 27,  DMC",171,73,14(7),1185,3,3,1,-,0.4,91.5,0.1,-,6.84,Barcelona,2019/2020
"Arturo Vidal 36,  M(CR)",180,75,16(17),1663,8,2,4,-,0.8,88.4,1,1,6.83,Barcelona,2019/2020
"Riqui Puig 24,  AM(C),FW",169,56,5(6),508,-,2,1,-,0.7,90.5,0.1,-,6.81,Barcelona,2019/2020
"Nélson Semedo 30,  D(LR),M(R)",177,69,24(8),2097,1,2,2,-,0.3,89.5,0.4,-,6.79,Barcelona,2019/2020
"Ansu Fati 21,  AM(L),FW",178,66,11(13),1027,7,1,2,1,1.4,85.7,0.3,-,6.73,Barcelona,2019/2020
"Samuel Umtiti 30,  D(CL)",182,75,10(3),946,-,-,6,-,-,92.2,1.6,-,6.71,Barcelona,2019/2020
"Ousmane Dembélé 26,  AM(CLR),FW",178,67,3(2),358,1,-,1,1,1,78,0.2,-,6.7,Barcelona,2019/2020
"Marc-André ter Stegen 31,  GK",187,85,36,3240,-,2,1,-,-,86.4,0.3,-,6.66,Barcelona,2019/2020
"Junior Firpo 27,  D(L),M(L)",184,78,11(6),1011,1,1,5,-,0.2,88.8,0.8,-,6.65,Barcelona,2019/2020
"Carles Pérez 26,  AM(CR),FW",173,75,5(5),474,1,2,-,-,1.4,83.5,0.1,-,6.58,Barcelona,2019/2020
"Ivan Rakitic 36,  M(CL)",184,78,16(15),1589,1,3,5,-,0.8,90,0.6,-,6.57,Barcelona,2019/2020
"Jean-Clair Todibo 24,  D(C)",192,88,1(1),77,-,-,-,-,-,96.1,1,-,6.53,Barcelona,2019/2020
"Neto 34,  GK",190,84,2,180,-,-,-,-,-,87.5,0.5,-,6.48,Barcelona,2019/2020
"Ronald Araujo 25,  D(CR)",188,79,2(4),236,-,-,-,1,0.2,93.7,1,-,6.41,Barcelona,2019/2020
"Martin Braithwaite 32,  AM(CLR),FW",180,77,4(7),403,1,-,1,-,1.2,77.8,0.5,-,6.36,Barcelona,2019/2020
"Carles Aleñá 26,  AM(CLR)",180,73,2(2),171,-,-,-,-,0.3,92.8,0.3,-,6.32,Barcelona,2019/2020
"Álex Collado 24,  AM(CR)",177,66,0(1),5,-,-,-,-,-,90,1,-,6.1,Barcelona,2019/2020
"Saúl Ñíguez 29,  D(CL),M(CLR)",184,76,35,3076,6,-,10,-,1.3,79.3,3.4,5,7.22,Atletico Madrid,2019/2020
"Thomas Partey 30,  D(R),M(CR)",185,77,29(6),2553,3,-,13,-,0.9,83.4,1.9,4,7.08,Atletico Madrid,2019/2020
"Koke 32,  M(CLR)",176,77,30(2),2699,4,5,5,-,0.7,85.2,0.9,1,7.02,Atletico Madrid,2019/2020
"Santiago Arias 32,  D(R),M(R)",178,72,11(3),1076,-,1,1,-,0.4,78.2,1.8,-,7,Atletico Madrid,2019/2020
"Kieran Trippier 33,  D(LR),M(R)",178,71,23(2),1981,-,4,2,-,0.1,76.7,1.1,-,6.99,Atletico Madrid,2019/2020
"Felipe 34,  D(C)",190,83,23(2),2099,1,-,7,-,0.8,76.8,3.8,1,6.97,Atletico Madrid,2019/2020
"Álvaro Morata 31,  AM(L),FW",190,84,25(9),2105,12,2,4,1,2,64.4,3.9,4,6.88,Atletico Madrid,2019/2020
"Sime Vrsaljko 32,  D(LR),M(R)",181,76,4(1),363,-,1,3,-,-,69.3,2.6,-,6.84,Atletico Madrid,2019/2020
"José Giménez 29,  D(CR)",185,77,19(2),1753,-,-,2,-,0.5,85.7,2.6,1,6.82,Atletico Madrid,2019/2020
"Manu Sánchez 23,  D(L)",179,70,4(1),326,-,-,1,-,-,75.8,0.4,-,6.77,Atletico Madrid,2019/2020
"Renan Lodi 25,  D(L),M(L)",173,68,28(4),2399,1,2,4,1,0.6,79,0.9,1,6.76,Atletico Madrid,2019/2020
"Stefan Savic 33,  D(C)",187,81,22,1980,-,-,6,-,0.1,81.4,3,2,6.76,Atletico Madrid,2019/2020
"Héctor Herrera 33,  M(C)",185,80,12(9),1120,-,2,1,-,0.7,87.7,1.3,-,6.75,Atletico Madrid,2019/2020
"Ángel Correa 29,  AM(CLR),FW",171,68,22(11),2065,5,6,5,-,1.3,76.9,0.4,1,6.67,Atletico Madrid,2019/2020
"Diego Costa 35,  FW",188,83,14(9),1351,5,4,5,-,1.5,69,3.1,1,6.65,Atletico Madrid,2019/2020
"João Félix 24,  AM(CL),FW",181,70,21(6),1748,6,1,6,-,2.4,78.9,0.7,-,6.64,Atletico Madrid,2019/2020
"Mario Hermoso 28,  D(CL)",184,75,15(2),1220,-,-,3,1,0.2,79.4,1.5,-,6.61,Atletico Madrid,2019/2020
"Jan Oblak 31,  GK",188,87,38,3396,-,-,-,-,-,54.9,0.1,-,6.6,Atletico Madrid,2019/2020
"Marcos Llorente 29,  D(R),M(CR),FW",184,74,16(13),1368,3,3,4,-,0.5,78.8,0.6,2,6.59,Atletico Madrid,2019/2020
"Vitolo 34,  M(CLR),FW",185,80,11(17),1222,3,2,3,-,0.6,81.9,0.6,-,6.58,Atletico Madrid,2019/2020
"Yannick Carrasco 30,  D(L),M(CLR),FW",181,73,6(9),628,1,2,2,-,1.1,80.7,0.2,-,6.57,Atletico Madrid,2019/2020
"Darío Poveda 27,  Forward",185,75,0(1),7,-,-,-,-,1,60,3,-,6.38,Atletico Madrid,2019/2020
"Thomas Lemar 28,  AM(CLR)",171,63,10(12),923,-,-,2,-,0.5,82.6,0.3,-,6.36,Atletico Madrid,2019/2020
"Antonio Adán 36,  GK",190,86,0(1),24,-,-,-,-,-,60,-,-,6.11,Atletico Madrid,2019/2020
"Germán Valera 22,  Midfielder",170,68,0(1),3,-,-,-,-,-,50,-,-,6.05,Atletico Madrid,2019/2020
"Toni Moya 26,  DMC",180,78,0(1),3,-,-,-,-,-,-,-,-,6.03,Atletico Madrid,2019/2020
"Rodrigo Riquelme 23,  D(L),M(CL)",174,66,0(1),12,-,-,-,-,1,50,-,-,6.02,Atletico Madrid,2019/2020
"Ivan Saponjic 26,  FW",190,86,0(2),4,-,-,-,-,0.5,-,0.5,-,5.99,Atletico Madrid,2019/2020
"Sergio Camello 23,  FW",177,69,0(2),23,-,-,-,-,-,33.3,0.5,-,5.98,Atletico Madrid,2019/2020
"Óscar Clemente 24,  Midfielder",175,0,0(1),3,-,-,-,-,-,100,-,-,5.87,Atletico Madrid,2019/2020
"Lucas Ocampos 29,  M(CLR),FW",187,84,31(2),2756,14,3,8,1,2.5,79.9,0.9,4,7.21,Sevilla,2019/2020
"Éver Banega 35,  M(C)",176,78,28(5),2483,3,7,10,-,1.2,86,0.5,4,7.1,Sevilla,2019/2020
"Sergio Reguilón 27,  D(L),M(L)",178,68,29(2),2509,2,4,8,-,0.9,81.4,1.3,2,7.1,Sevilla,2019/2020
"Yassine Bounou 32,  GK",195,78,5(1),495,-,1,1,-,-,68.8,0.5,2,7.03,Sevilla,2019/2020
"Fernando 36,  D(C),DMC",183,76,30(4),2658,2,3,13,-,0.4,87.6,2.2,1,6.96,Sevilla,2019/2020
"Sergio Escudero 34,  D(L),M(L)",176,65,8(3),774,1,-,2,-,0.7,81.3,2.3,-,6.95,Sevilla,2019/2020
"Munir El Haddadi 28,  AM(CLR),FW",175,69,14(7),1256,5,2,1,-,2.1,79,1.1,3,6.95,Sevilla,2019/2020
"Joan Jordán 29,  M(C)",184,74,27(7),2267,2,2,8,-,0.9,87.3,1,2,6.94,Sevilla,2019/2020
"Diego Carlos 31,  D(C)",186,79,35,3135,2,-,7,-,0.6,84.2,2.8,1,6.9,Sevilla,2019/2020
"Jesús Navas 38,  D(R),M(R)",172,60,37(1),3371,-,7,4,-,0.3,80.2,0.5,2,6.88,Sevilla,2019/2020
"Jules Koundé 25,  D(CR)",180,75,25(4),2307,1,1,6,-,0.8,85.9,3.2,-,6.87,Sevilla,2019/2020
"Luuk de Jong 33,  AM(C),FW",188,86,24(11),2063,6,1,2,-,1.6,69.3,4.2,2,6.86,Sevilla,2019/2020
"Nolito 37,  AM(CL)",175,65,12(3),905,3,-,-,-,2,78.7,0.7,-,6.72,Sevilla,2019/2020
"Óliver Torres 29,  M(CLR)",178,70,21(7),1609,3,3,5,-,0.6,82.6,0.3,1,6.69,Sevilla,2019/2020
"Suso 30,  AM(CLR),FW",177,70,8(9),785,1,1,-,-,0.8,78.6,0.2,1,6.63,Sevilla,2019/2020
"Tomás Vaclík 34,  GK",188,85,33,2926,-,-,-,-,-,66.5,0.2,-,6.6,Sevilla,2019/2020
"Youssef En-Nesyri 26,  FW",188,73,7(11),790,4,-,1,-,1.2,63.7,2.1,-,6.51,Sevilla,2019/2020
"Franco Vázquez 35,  AM(CLR),FW",187,82,11(20),1088,3,-,5,-,0.5,87,1.2,-,6.46,Sevilla,2019/2020
"Daniel Carriço 35,  D(C),DMC",180,79,10(1),849,-,-,3,-,0.5,90,1.4,-,6.43,Sevilla,2019/2020
"Nemanja Gudelj 32,  D(C),M(C)",187,79,9(15),1202,-,-,6,-,0.3,90.3,0.9,-,6.42,Sevilla,2019/2020
"Sergi Gómez 31,  D(CR)",185,80,8(5),714,-,-,4,-,0.2,87.5,1.3,-,6.42,Sevilla,2019/2020
"Chicharito 35,  FW",175,73,4(5),446,1,-,-,-,1.4,72.7,1.2,1,6.35,Sevilla,2019/2020
"Bryan Gil 23,  AM(CLR)",175,60,0(2),63,-,-,2,-,-,91.7,-,-,6.29,Sevilla,2019/2020
"Mu'nas Dabbur 31,  AM(C),FW",183,78,0(2),24,-,-,-,-,1,75,-,-,6.26,Sevilla,2019/2020
"Rony Lopes 28,  AM(CLR),FW",174,68,2(3),134,-,-,-,-,0.4,90.7,-,-,6.16,Sevilla,2019/2020
"Álex Pozo 25,  D(R),M(R)",174,70,0(3),34,-,-,-,-,-,76.9,-,-,5.95,Sevilla,2019/2020
"Gerard Moreno 31,  AM(CR),FW",180,77,33(2),2755,18,5,5,-,2.5,74.5,1.6,6,7.31,Villarreal,2019/2020
"Santi Cazorla 39,  M(CLR)",168,65,29(6),2461,11,9,3,-,1.4,86.4,0.3,2,7.17,Villarreal,2019/2020
"Frank Anguissa 28,  M(C)",184,78,28(8),2582,2,-,6,-,0.8,87.8,2.3,5,7.06,Villarreal,2019/2020
"Sergio Asenjo 34,  GK",189,87,34,3060,-,-,2,-,-,67.5,0.2,1,6.83,Villarreal,2019/2020
"Andrés Fernández 37,  GK",187,82,4,360,-,1,1,-,-,75.5,0.8,-,6.79,Villarreal,2019/2020
"Iborra 36,  M(C)",190,80,33(1),2663,1,2,10,1,0.6,85.6,2.8,-,6.77,Villarreal,2019/2020
"Rubén Peña 32,  D(LR),M(LR),FW",170,65,21(5),1906,2,2,5,-,0.2,80.6,0.8,4,6.76,Villarreal,2019/2020
"Raúl Albiol 38,  D(C)",187,74,36,3238,1,-,9,-,0.4,84,2.3,-,6.74,Villarreal,2019/2020
"Karl Toko-Ekambi 31,  AM(LR),FW",183,74,11(7),995,6,2,-,-,2.2,78.7,0.6,1,6.71,Villarreal,2019/2020
"Moi Gómez 29,  M(CLR)",176,71,26(11),2330,5,4,1,-,1,84.3,0.4,1,6.71,Villarreal,2019/2020
"Paco Alcácer 30,  AM(R),FW",175,72,11(2),930,4,1,1,-,2,79.1,0.5,-,6.67,Villarreal,2019/2020
"Pau Torres 27,  D(C)",191,80,33(1),2971,2,1,6,-,0.3,85.4,1.4,-,6.67,Villarreal,2019/2020
"Manu Trigueros 32,  M(CLR),FW",178,75,17(12),1544,2,4,6,-,0.9,88,0.5,-,6.66,Villarreal,2019/2020
"Mario Gaspar 33,  D(CR),M(R)",182,74,22(3),1962,-,2,2,-,0.6,75,1.7,-,6.64,Villarreal,2019/2020
"Samuel Chukwueze 24,  AM(CR)",172,70,20(17),2039,3,2,2,-,1.3,74.1,0.4,1,6.63,Villarreal,2019/2020
"Alberto Moreno 31,  D(L),M(L)",171,65,17(1),1475,-,-,6,-,0.5,86.7,0.7,-,6.63,Villarreal,2019/2020
"Xavi Quintillá 27,  D(L)",183,70,17(2),1573,-,2,6,-,0.2,85.7,0.5,-,6.54,Villarreal,2019/2020
"Javier Ontiveros 26,  AM(LR)",170,75,7(23),875,2,1,2,-,1.6,80.7,0.3,-,6.53,Villarreal,2019/2020
"Manu Morlanes 25,  DMC",178,75,3(6),249,-,1,-,-,-,91.4,0.1,-,6.38,Villarreal,2019/2020
"Carlos Bacca 37,  FW",181,77,7(12),683,2,1,1,-,0.9,75.6,0.7,-,6.34,Villarreal,2019/2020
"Bruno Soriano 39,  M(C)",184,73,1(6),260,-,-,1,-,0.1,93.8,0.4,-,6.27,Villarreal,2019/2020
"Ramiro Funes Mori 33,  D(C),DMC",186,79,5(2),452,-,-,1,-,0.4,82.5,1.4,-,6.21,Villarreal,2019/2020
"Fer Niño 23,  FW",191,0,1(4),81,1,-,1,-,0.2,70,0.4,-,6.15,Villarreal,2019/2020
"Álex Baena 22,  AM(CL),FW",175,70,0(1),13,-,-,-,-,-,100,-,-,6.07,Villarreal,2019/2020
"Sofian Chakla 30,  D(C)",188,73,2,180,-,-,1,-,0.5,82.4,1,-,5.81,Villarreal,2019/2020
"Mikel Merino 27,  M(C)",188,83,35(1),3144,5,1,9,-,1.2,75.8,5.1,5,7.31,Real Sociedad,2019/2020
"Martin Ødegaard 25,  AM(CR)",178,68,29(2),2533,4,6,3,-,1.6,84.7,0.3,4,7.1,Real Sociedad,2019/2020
"Mikel Oyarzabal 26,  AM(CLR),FW",181,78,36(1),3063,10,11,4,-,1.7,77.5,1.3,5,7.05,Real Sociedad,2019/2020
"Joseba Zaldúa 31,  D(R)",176,70,29(1),2551,-,2,6,1,0.2,77.3,2.5,-,6.81,Real Sociedad,2019/2020
"Nacho Monreal 38,  D(CL),M(L)",179,72,27(2),2393,2,-,3,-,0.7,83.5,1.8,1,6.71,Real Sociedad,2019/2020
"Miguel Ángel Moyá 39,  GK",188,83,13,1170,-,-,-,-,-,77.5,0.2,-,6.67,Real Sociedad,2019/2020
"Robin Le Normand 27,  D(C)",187,80,25(6),2390,1,-,6,-,0.4,87.8,2.9,-,6.67,Real Sociedad,2019/2020
"Aritz Elustondo 29,  D(CR)",180,71,17(5),1504,-,1,4,-,0.4,82,3,-,6.66,Real Sociedad,2019/2020
"Portu 31,  M(CLR),FW",167,66,25(10),2395,7,8,5,-,1.2,72.6,0.5,3,6.66,Real Sociedad,2019/2020
"Asier Illarramendi 34,  M(C)",179,75,3,217,-,-,-,-,0.3,91.7,1.3,-,6.62,Real Sociedad,2019/2020
"Igor Zubeldia 26,  D(C),DMC",181,73,29(4),2639,-,1,9,-,0.4,87.4,2,-,6.61,Real Sociedad,2019/2020
"Álex Remiro 28,  GK",191,79,25,2250,-,-,-,-,-,72.6,0.3,-,6.61,Real Sociedad,2019/2020
"Adnan Januzaj 29,  AM(CLR)",186,76,13(11),1168,3,3,3,-,1,70.4,0.2,1,6.6,Real Sociedad,2019/2020
"Martín Zubimendi 25,  DMC",180,74,6(3),572,-,-,3,-,0.4,86.6,2,-,6.58,Real Sociedad,2019/2020
"Roberto López 23,  Midfielder",179,70,0(3),49,-,1,-,-,-,80,1.3,-,6.57,Real Sociedad,2019/2020
"Diego Llorente 30,  D(C),DMC",186,75,27(2),2330,1,1,5,1,0.3,87.3,2.4,-,6.51,Real Sociedad,2019/2020
"Willian José 32,  FW",189,93,24(13),2018,11,1,4,-,1.6,72.2,1.1,-,6.51,Real Sociedad,2019/2020
"Ander Guevara 26,  DMC",180,73,11(3),942,-,-,4,-,0.2,84.3,1.1,1,6.46,Real Sociedad,2019/2020
"Alexander Isak 24,  AM(L),FW",192,77,14(23),1500,9,1,4,-,1.2,73.4,0.6,-,6.41,Real Sociedad,2019/2020
"Näis Djouahra 24,  Forward",171,67,0(2),29,-,1,-,-,0.5,77.8,0.5,-,6.4,Real Sociedad,2019/2020
"Aihen Muñoz 26,  D(L)",175,68,11(4),980,-,-,1,-,-,80.7,1.4,-,6.39,Real Sociedad,2019/2020
"Ander Barrenetxea 22,  M(LR)",178,75,3(14),434,1,-,1,-,0.9,79.4,0.2,-,6.38,Real Sociedad,2019/2020
"Andoni Gorosabel 27,  D(R)",174,70,8(6),715,-,-,2,-,0.1,76.9,0.6,-,6.37,Real Sociedad,2019/2020
"Luca Sangalli 29,  AM(C)",167,74,5(6),372,-,1,-,-,0.5,75.8,0.8,-,6.32,Real Sociedad,2019/2020
"Kévin Rodrigues 30,  D(L),M(L)",170,70,0(1),5,-,-,-,-,1,66.7,1,-,6.23,Real Sociedad,2019/2020
"David Zurutuza 37,  M(CL)",186,79,3(3),157,-,-,1,-,-,73.1,0.8,-,6.16,Real Sociedad,2019/2020
"Jon Pacheco 23,  D(C)",184,77,1,78,-,-,-,-,-,70.3,1,-,6.13,Real Sociedad,2019/2020
"Yangel Herrera 26,  M(C)",184,78,28(2),2376,2,3,14,-,1.1,75.2,2.7,1,6.95,Granada,2019/2020
"Darwin Machís 31,  AM(LR)",170,68,20(16),2130,7,5,5,-,2,72.4,0.6,2,6.9,Granada,2019/2020
"Ángel Montoro 35,  M(C)",181,72,11(4),975,2,5,6,-,0.9,80.7,0.2,2,6.89,Granada,2019/2020
"Víctor Díaz 35,  D(CLR)",184,71,33(3),2887,1,5,4,-,0.4,67.1,1.9,2,6.86,Granada,2019/2020
"Carlos Fernández 27,  AM(C),FW",185,72,21(13),2195,10,3,8,-,1.4,59.7,3.1,4,6.84,Granada,2019/2020
"Maxime Gonalons 35,  D(C),M(C)",187,76,17(2),1509,-,-,7,-,0.3,81.1,1.9,-,6.81,Granada,2019/2020
"Aarón Escandell 28,  GK",185,71,3,270,-,-,-,-,-,49,-,-,6.77,Granada,2019/2020
"Antonio Puertas 32,  M(LR)",183,77,27(9),2565,7,3,7,-,1.2,72,1.8,1,6.76,Granada,2019/2020
"Germán Sánchez 37,  D(C)",186,79,26(2),2295,2,-,10,1,0.4,78.3,3.1,1,6.71,Granada,2019/2020
"Rui Silva 30,  GK",191,91,35,3150,-,-,3,-,-,52.2,0.2,2,6.7,Granada,2019/2020
"Domingos Duarte 29,  D(C)",192,80,34(2),3087,3,1,7,-,0.4,77.8,2.2,2,6.68,Granada,2019/2020
"Dimitri Foulquier 30,  D(CLR),M(R)",183,72,12(5),1115,1,-,4,-,0.3,64,0.9,1,6.65,Granada,2019/2020
"Quini 34,  D(LR)",178,74,8(2),717,-,-,2,-,1,75.2,0.8,-,6.63,Granada,2019/2020
"Roberto Soldado 38,  FW",180,74,30(3),2363,7,4,14,-,1,70,1.4,-,6.61,Granada,2019/2020
"Álvaro Vadillo 29,  AM(LR)",180,69,15(7),1222,3,1,-,-,0.8,73.8,0.3,-,6.53,Granada,2019/2020
"Gil Dias 27,  D(L),M(LR)",183,75,3(9),351,-,1,1,-,0.5,77.8,0.4,-,6.48,Granada,2019/2020
"Fede Vico 29,  M(CLR)",176,70,11(7),886,2,1,1,-,1,74.3,0.4,-,6.47,Granada,2019/2020
"Carlos Neva 27,  D(L),M(L)",174,64,25(1),2211,-,1,2,-,0.3,70.4,0.9,-,6.46,Granada,2019/2020
"José Martínez 31,  D(C)",189,84,13(7),1188,-,1,-,-,0.1,73.7,1.9,1,6.46,Granada,2019/2020
"Yan Eteki 26,  DMC",180,70,18(10),1506,-,-,4,-,0.3,77.3,1,-,6.39,Granada,2019/2020
"Jesús Vallejo 27,  D(CR)",184,79,7(4),627,-,-,1,-,0.1,74.4,0.7,-,6.33,Granada,2019/2020
"Ramón Azeez 31,  M(C)",169,67,14(11),1355,2,-,3,-,0.8,79.5,0.8,-,6.31,Granada,2019/2020
"Ismail Köybasi 34,  D(LR),M(L)",179,75,3(1),232,-,-,1,-,0.3,63.9,0.8,-,6.28,Granada,2019/2020
"Adrián Ramos 38,  FW",184,78,2(5),222,-,-,-,-,0.9,64.9,2.1,-,6.27,Granada,2019/2020
"Antoñín 23,  Forward",182,71,2(6),179,1,-,2,-,0.4,57.1,0.5,-,6.24,Granada,2019/2020
"Mario Rodríguez 27,  Forward",176,64,0(1),1,-,-,-,-,-,-,-,-,6.11,Granada,2019/2020
"Álex Martínez 33,  D(L)",176,67,1(1),15,-,-,1,-,0.5,100,-,-,6.11,Granada,2019/2020
"Damián Suárez 35,  D(R),M(R)",172,61,31,2599,1,4,15,1,0.7,64.9,1.3,3,6.84,Getafe,2019/2020
"Jason 29,  M(LR)",178,65,14(6),1184,1,4,5,-,1.4,63.6,0.9,2,6.83,Getafe,2019/2020
"Raúl Carnero 34,  D(CL),M(L)",180,74,3(1),247,-,-,-,-,-,65.4,1,-,6.83,Getafe,2019/2020
"Marc Cucurella 25,  D(CL),M(L)",172,66,37,3250,1,5,9,-,0.8,67.9,1.5,1,6.82,Getafe,2019/2020
"Mathías Olivera 26,  D(L),M(L)",184,78,21(3),1872,-,1,5,1,0.3,53.6,3,2,6.79,Getafe,2019/2020
"Jaime Mata 35,  AM(L),FW",185,79,33(1),2759,11,3,14,-,1.7,66.3,3.1,3,6.77,Getafe,2019/2020
"Mauro Arambarri 28,  DMC",175,74,34(1),3072,1,1,9,1,1.3,67.9,2.1,-,6.73,Getafe,2019/2020
"Nemanja Maksimovic 29,  M(C)",189,69,33(2),2898,2,-,5,-,1,70.4,2.1,2,6.71,Getafe,2019/2020
"Leandro Cabrera 32,  D(CL)",190,80,18,1532,2,-,3,-,0.6,51,3.1,-,6.71,Getafe,2019/2020
"Djené Dakonam 32,  D(CR),DMC",187,72,34,3060,-,-,5,-,0.1,69.4,2.5,1,6.64,Getafe,2019/2020
"Xabier Etxeita 36,  D(C)",186,78,16(1),1447,-,-,7,1,0.4,54.1,2.9,-,6.58,Getafe,2019/2020
"Jorge Molina 41,  FW",188,72,23(11),1895,5,3,6,1,0.9,65.3,2.5,1,6.55,Getafe,2019/2020
"Erick Cabaco 28,  D(C)",185,79,3(1),268,-,-,-,-,0.3,62.5,3,-,6.54,Getafe,2019/2020
"Ángel Rodríguez 36,  FW",172,68,9(23),1397,10,3,6,-,1.7,63.8,0.9,1,6.53,Getafe,2019/2020
"Kenedy 28,  D(L),M(LR)",182,77,3(16),578,1,3,2,-,0.7,71.3,0.4,1,6.53,Getafe,2019/2020
"Deyverson 32,  FW",187,80,3(2),205,-,1,2,-,1,50.8,3.4,-,6.53,Getafe,2019/2020
"David Timor 34,  D(C),M(C)",185,80,10(12),940,3,-,4,-,0.9,60.2,2,1,6.52,Getafe,2019/2020
"David Soria 30,  GK",192,85,38,3420,-,-,2,-,-,42,0.2,1,6.49,Getafe,2019/2020
"Peter Etebo 28,  M(CL),FW",172,70,6(4),575,1,-,4,-,0.9,62.5,2.2,-,6.46,Getafe,2019/2020
