Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Casemiro 32,  DMC",185,84,35,3091,4,3,12,-,1.3,84.1,2.9,3,7.47,Real Madrid,2019/2020
"Karim Benzema 36,  FW",185,81,36(1),3155,21,8,-,-,3.4,86.2,0.8,10,7.44,Real Madrid,2019/2020
"Eden Hazard 33,  M(CLR),FW",175,74,14(2),1088,1,3,-,-,1.2,85.9,0.4,1,7.3,Real Madrid,2019/2020
"Toni Kroos 34,  M(C)",183,76,31(4),2656,4,5,2,-,1.6,93.5,0.3,2,7.2,Real Madrid,2019/2020
"Dani Carvajal 32,  D(R)",173,73,31,2741,1,5,11,-,0.6,86.6,0.9,3,7.18,Real Madrid,2019/2020
"Marcelo 35,  D(L),M(L)",173,72,15,1299,1,2,2,-,1.1,84.2,0.7,1,7.15,Real Madrid,2019/2020
"Nacho 34,  D(CLR)",180,76,4(2),438,1,-,3,-,1,86.8,2.7,1,7.14,Real Madrid,2019/2020
"Sergio Ramos 37,  D(CR)",184,82,35,3017,11,-,10,-,1.1,91,2,1,7.07,Real Madrid,2019/2020
"Luka Modric 38,  M(C)",172,66,22(9),1998,3,7,7,1,1,88.6,0.4,4,7.01,Real Madrid,2019/2020
"Ferland Mendy 28,  D(L),M(L)",180,73,19(6),1806,1,2,6,1,0.3,87.9,1,-,7.01,Real Madrid,2019/2020
"Raphaël Varane 30,  D(C)",191,81,32,2823,2,1,2,-,0.3,87.3,2.5,1,6.98,Real Madrid,2019/2020
"James Rodríguez 32,  AM(CLR),FW",180,75,5(3),419,1,1,1,-,1.1,82.3,0.6,-,6.91,Real Madrid,2019/2020
"Éder Militão 26,  D(CR)",186,78,10(5),1020,-,-,3,-,0.1,87.5,2.5,-,6.85,Real Madrid,2019/2020
"Thibaut Courtois 31,  GK",200,96,34,3060,-,-,1,-,-,75.1,0.1,-,6.84,Real Madrid,2019/2020
"Gareth Bale 34,  M(CLR),FW",186,81,12(4),1092,2,2,2,1,2.1,79.1,1.8,-,6.82,Real Madrid,2019/2020
"Marco Asensio 28,  AM(CLR),FW",182,76,3(6),334,3,1,-,-,0.9,87.6,0.2,-,6.79,Real Madrid,2019/2020
"Federico Valverde 25,  M(CLR)",182,78,21(12),1906,2,5,1,-,0.7,88.2,0.8,-,6.73,Real Madrid,2019/2020
"Rodrygo 23,  AM(CLR),FW",174,64,12(7),1023,2,-,-,-,0.8,87.9,0.5,-,6.72,Real Madrid,2019/2020
"Isco 31,  M(CLR),FW",176,79,15(8),1190,1,2,2,-,1,88,0.3,1,6.7,Real Madrid,2019/2020
"Vinícius Júnior 23,  AM(L),FW",176,73,12(17),1354,3,1,4,-,1.3,80.7,0.1,2,6.66,Real Madrid,2019/2020
"Lucas Vázquez 32,  D(R),M(R)",173,70,8(10),841,2,1,1,-,0.6,83.5,0.2,-,6.66,Real Madrid,2019/2020
"Alphonse Areola 31,  GK",195,94,4,360,-,-,1,-,-,80.4,0.3,-,6.59,Real Madrid,2019/2020
"Álvaro Odriozola 28,  D(R)",176,66,4,344,-,1,1,1,0.5,91.1,-,-,6.49,Real Madrid,2019/2020
"Luka Jovic 26,  FW",181,78,4(13),422,2,1,2,-,0.8,80.6,0.9,-,6.35,Real Madrid,2019/2020
"Brahim Díaz 24,  AM(CLR)",171,59,0(6),60,-,-,1,-,0.5,82.5,-,-,6.08,Real Madrid,2019/2020
"Mariano Díaz 30,  FW",180,76,0(5),42,1,-,1,-,1.2,71.4,0.4,-,6.07,Real Madrid,2019/2020
"Lionel Messi 36,  AM(CR),FW",170,72,32(1),2881,25,21,4,-,4.8,82.6,0.3,22,8.71,Barcelona,2019/2020
"Luis Suárez 37,  AM(CLR),FW",182,72,22(6),2002,16,8,4,-,2.8,75.5,0.4,3,7.33,Barcelona,2019/2020
"Sergio Busquets 35,  DMC",189,74,29(4),2491,2,2,10,-,0.3,89.9,1.2,1,7.07,Barcelona,2019/2020
"Gerard Piqué 37,  D(C)",194,85,35,3096,1,-,15,-,0.4,91.8,3.7,1,7.03,Barcelona,2019/2020
"Antoine Griezmann 33,  AM(CLR),FW",176,73,31(4),2562,9,4,2,-,1.6,81.8,0.9,1,6.97,Barcelona,2019/2020
"Rafinha 32,  M(CLR)",174,71,2(1),187,-,-,-,-,2,90,-,-,6.93,Barcelona,2019/2020
